Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
4/29/2018,AQS,371010002,1,0.047,ppm,44,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
4/30/2018,AQS,371010002,1,0.055,ppm,51,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/1/2018,AQS,371010002,1,0.06,ppm,67,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/2/2018,AQS,371010002,1,0.06,ppm,67,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/3/2018,AQS,371010002,1,0.055,ppm,51,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/4/2018,AQS,371010002,1,0.053,ppm,49,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/5/2018,AQS,371010002,1,0.045,ppm,42,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/6/2018,AQS,371010002,1,0.035,ppm,32,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/7/2018,AQS,371010002,1,0.043,ppm,40,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/8/2018,AQS,371010002,1,0.044,ppm,41,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/9/2018,AQS,371010002,1,0.052,ppm,48,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/10/2018,AQS,371010002,1,0.058,ppm,61,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/11/2018,AQS,371010002,1,0.059,ppm,64,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/12/2018,AQS,371010002,1,0.055,ppm,51,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/13/2018,AQS,371010002,1,0.057,ppm,58,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/14/2018,AQS,371010002,1,0.057,ppm,58,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/15/2018,AQS,371010002,1,0.026,ppm,24,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/16/2018,AQS,371010002,1,0.032,ppm,30,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/17/2018,AQS,371010002,1,0.027,ppm,25,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/18/2018,AQS,371010002,1,0.028,ppm,26,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/19/2018,AQS,371010002,1,0.021,ppm,19,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/20/2018,AQS,371010002,1,0.027,ppm,25,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/21/2018,AQS,371010002,1,0.044,ppm,41,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/22/2018,AQS,371010002,1,0.03,ppm,28,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/23/2018,AQS,371010002,1,0.033,ppm,31,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/24/2018,AQS,371010002,1,0.05,ppm,46,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/25/2018,AQS,371010002,1,0.049,ppm,45,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/26/2018,AQS,371010002,1,0.026,ppm,24,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/27/2018,AQS,371010002,1,0.024,ppm,22,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/28/2018,AQS,371010002,1,0.018,ppm,17,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/29/2018,AQS,371010002,1,0.026,ppm,24,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/30/2018,AQS,371010002,1,0.026,ppm,24,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/31/2018,AQS,371010002,1,0.026,ppm,24,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/1/2018,AQS,371010002,1,0.051,ppm,47,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/2/2018,AQS,371010002,1,0.046,ppm,43,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/3/2018,AQS,371010002,1,0.044,ppm,41,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/4/2018,AQS,371010002,1,0.062,ppm,74,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/5/2018,AQS,371010002,1,0.056,ppm,54,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/6/2018,AQS,371010002,1,0.067,ppm,90,West Johnston Co.,17,100,44201,Ozone,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
