Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2/6/2020,AQS,481410029,1,0.038,ppm,35,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/7/2020,AQS,481410029,1,0.036,ppm,33,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/8/2020,AQS,481410029,1,0.039,ppm,36,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/9/2020,AQS,481410029,1,0.039,ppm,36,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/10/2020,AQS,481410029,1,0.034,ppm,31,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/11/2020,AQS,481410029,1,0.024,ppm,22,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/12/2020,AQS,481410029,1,0.036,ppm,33,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/13/2020,AQS,481410029,1,0.042,ppm,39,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/14/2020,AQS,481410029,1,0.036,ppm,33,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/15/2020,AQS,481410029,1,0.044,ppm,41,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
