,City ID,City,Country,Lat,Lon,Cloudiness,Humidity,Max Temp,Wind Speed,Date
62,5848280,Kapaa,US,22.0752,-159.319,40,78,72.77,7.2,2021-04-24 09:04:24
63,3430863,Mar del Plata,AR,-38.0023,-57.5575,40,88,66.36,3.6,2021-04-24 09:02:20
64,6180550,Whitehorse,CA,60.7161,-135.0538,20,59,29.57,2.06,2021-04-24 09:04:24
65,1510689,Baykit,RU,61.67,96.37,100,95,32.29,0.89,2021-04-24 09:04:25
66,3354077,Opuwo,NA,-18.0607,13.84,90,23,81.73,1.98,2021-04-24 09:04:25
67,4703811,Kyle,US,29.9984,-97.8715,1,77,61.97,4.63,2021-04-24 09:04:25
68,7671223,Kloulklubed,PW,7.0419,134.2556,75,83,81.77,3.09,2021-04-24 09:04:26
69,2070998,Geraldton,AU,-28.7667,114.6,90,88,67.37,3.6,2021-04-24 09:04:26
70,5367788,Lompoc,US,34.6391,-120.4579,25,81,49.37,1.77,2021-04-24 09:04:26
71,3985710,Cabo San Lucas,MX,22.8909,-109.9124,1,55,61.97,1.72,2021-04-24 09:01:15
72,3831208,Qaanaaq,GL,77.484,-69.3632,100,64,22.28,4.55,2021-04-24 09:04:26
73,2644605,Lerwick,GB,60.1545,-1.1494,75,87,47.57,3.09,2021-04-24 09:04:27
74,2441482,Magaria,NE,12.9983,8.9099,100,12,104.31,2.62,2021-04-24 09:04:27
75,3521476,Pijijiapan,MX,15.7011,-93.23,100,68,80.19,0.64,2021-04-24 09:04:27
76,1786060,Yuanping,CN,38.7153,112.7575,100,55,54.97,3.64,2021-04-24 09:04:18
77,2332453,Lagos,NG,6.5833,3.75,75,62,90.77,4.63,2021-04-24 08:56:58
78,2374583,Bubaque,GW,11.2833,-15.8333,2,54,78.66,2.81,2021-04-24 09:04:28
79,2240449,Luanda,AO,-8.8368,13.2343,75,74,83.57,3.6,2021-04-24 09:04:28
80,2446796,Bilma,NE,18.6853,12.9164,7,5,106.36,4.94,2021-04-24 09:01:10
81,3418910,Upernavik,GL,72.7868,-56.1549,45,80,33.19,1.21,2021-04-24 09:04:28
82,3662762,Porto Velho,BR,-8.7619,-63.9039,20,94,76.37,1.03,2021-04-24 09:04:28
83,1254163,Trivandrum,IN,8.4833,76.9167,40,70,87.17,4.12,2021-04-24 09:04:29
84,5924351,Clyde River,CA,70.4692,-68.5914,90,92,13.37,4.12,2021-04-24 09:04:29
85,935215,Saint-Philippe,RE,-21.3585,55.7679,75,78,79.97,12.35,2021-04-24 09:04:29
