DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,LAt,Lng,Date
41.9,2018,9,5,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/5/2018
26.8,2018,10,14,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/14/2018
57.2,2018,10,17,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/17/2018
14.4,2018,10,20,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/20/2018
26.6,2018,10,23,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/23/2018
15.4,2018,10,26,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/26/2018
25,2018,10,29,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/29/2018
7.8,2018,11,1,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/1/2018
21.6,2018,11,7,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/7/2018
20.4,2018,11,10,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/10/2018
19.4,2018,11,16,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/16/2018
32.7,2018,11,19,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/19/2018
22.5,2018,11,22,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/22/2018
24,2018,11,25,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/25/2018
35,2018,11,28,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/28/2018
20.5,2018,12,4,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/4/2018
23.4,2018,12,7,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/7/2018
26,2018,12,13,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/13/2018
34.3,2018,12,19,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/19/2018
27.3,2018,12,22,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/22/2018
19.7,2018,12,25,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/25/2018
23.9,2018,12,28,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/28/2018
6,2020,1,1,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/1/2020
23.1,2020,1,7,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/7/2020
17,2020,1,10,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/10/2020
20.1,2020,1,13,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/13/2020
22.1,2020,1,16,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/16/2020
28.4,2020,1,19,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/19/2020
20.7,2020,1,22,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/22/2020
13.1,2020,1,25,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/25/2020
20.7,2020,1,28,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/28/2020
13.2,2020,1,31,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/31/2020
22.9,2020,2,3,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/3/2020
35.3,2020,2,6,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/6/2020
20.8,2020,2,9,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/9/2020
14.5,2020,2,15,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/15/2020
16.3,2020,2,18,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/18/2020
25.3,2020,2,21,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/21/2020
15.2,2020,2,24,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/24/2020
34.6,2020,2,27,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/27/2020
12.2,2020,3,1,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/1/2020
19.7,2020,3,4,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/4/2020
17.7,2020,8,7,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/7/2020
23.6,2020,8,10,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/10/2020
12.5,2020,8,13,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/13/2020
28,2020,8,16,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/16/2020
28.1,2020,8,19,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/19/2020
6.1,2020,8,22,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/22/2020
20.8,2020,8,25,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/25/2020
8.9,2020,8,28,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/28/2020
26.5,2020,8,31,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/31/2020
19,2020,9,3,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/3/2020
39,2020,9,6,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/6/2020
34.5,2020,9,9,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/9/2020
24.9,2020,9,18,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/18/2020
23.9,2020,9,21,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/21/2020
12.3,2020,9,24,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/24/2020
12,2020,9,27,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/27/2020
38.3,2020,9,30,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/30/2020
23.3,2020,10,3,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/3/2020
15.6,2020,10,6,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/6/2020
15.6,2020,10,9,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/9/2020
16.8,2020,10,12,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/12/2020
33.3,2020,10,15,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/15/2020
14.6,2020,10,18,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/18/2020
18.4,2020,10,21,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/21/2020
9.8,2020,10,24,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/24/2020
23.2,2020,10,27,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/27/2020
20,2020,11,8,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/8/2020
14.7,2020,11,11,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/11/2020
11.7,2020,11,14,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/14/2020
22.2,2020,11,17,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/17/2020
24.5,2020,11,20,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/20/2020
22.4,2020,11,23,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/23/2020
15.8,2020,11,26,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/26/2020
23.5,2020,11,29,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/29/2020
35.2,2020,12,2,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/2/2020
23.5,2020,12,5,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/5/2020
20,2020,12,8,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/8/2020
27.1,2020,12,14,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/14/2020
9.7,2020,12,17,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/17/2020
21.7,2020,12,20,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/20/2020
12.8,2020,12,26,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/26/2020
21.5,2020,12,29,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/29/2020
