DMean PM10,Year,Month,Day,PM-WEIGHT,Flag,Site Name,Lat,Lng,Date
28,2016,9,9,1,0,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
28,2016,9,15,1,0,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
28,2016,9,15,1,0,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
41,2016,9,27,1,0,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
41,2016,9,27,1,0,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
32,2016,10,3,1,0,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
32,2016,10,3,1,0,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
26,2016,10,9,1,0,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
26,2016,10,9,1,0,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
17,2016,10,15,1,0,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
17,2016,10,15,1,0,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
35,2016,10,21,1,0,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
35,2016,10,21,1,0,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
32,2016,10,27,1,0,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
32,2016,10,27,1,0,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
27,2016,11,2,1,0,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
27,2016,11,2,1,0,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
32,2016,11,8,1,0,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
32,2016,11,8,1,0,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
29,2016,11,14,1,0,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
29,2016,11,14,1,0,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
24,2016,11,20,1,0,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
24,2016,11,20,1,0,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
23,2016,11,26,1,0,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
23,2016,11,26,1,0,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
36,2016,12,8,1,0,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
36,2016,12,8,1,0,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
64,2016,12,14,1,0,Los Angeles-North Main Street,34.06659,-118.22688,12/14/2016
28,2016,12,20,1,0,Los Angeles-North Main Street,34.06659,-118.22688,12/20/2016
19,2016,12,26,1,0,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
19,2016,12,26,1,0,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
15,2016,1,7,1,0,Long Beach (Hudson),33.8025,-118.22,1/7/2016
44,2016,1,13,1,0,Long Beach (Hudson),33.8025,-118.22,1/13/2016
26,2016,1,19,1,0,Long Beach (Hudson),33.8025,-118.22,1/19/2016
43,2016,1,25,1,0,Long Beach (Hudson),33.8025,-118.22,1/25/2016
24,2016,1,31,1,0,Long Beach (Hudson),33.8025,-118.22,1/31/2016
54,2016,2,12,1,0,Long Beach (Hudson),33.8025,-118.22,2/12/2016
26,2016,2,18,1,0,Long Beach (Hudson),33.8025,-118.22,2/18/2016
44,2016,2,24,1,0,Long Beach (Hudson),33.8025,-118.22,2/24/2016
40,2016,3,1,1,0,Long Beach (Hudson),33.8025,-118.22,3/1/2016
