DMean PM10,Year,Month,Day,PM-WEIGHT,Flag,Site Name,Lat,Lng,Date
17,2016,8,10,1,0,Newark Firehouse,40.720989,-74.192892,8/10/2016
16,2016,8,13,1,0,Newark Firehouse,40.720989,-74.192892,8/13/2016
17,2016,8,16,1,0,Newark Firehouse,40.720989,-74.192892,8/16/2016
17,2016,8,19,1,0,Newark Firehouse,40.720989,-74.192892,8/19/2016
8,2016,8,22,1,0,Newark Firehouse,40.720989,-74.192892,8/22/2016
19,2016,8,25,1,0,Newark Firehouse,40.720989,-74.192892,8/25/2016
15,2016,8,28,1,0,Newark Firehouse,40.720989,-74.192892,8/28/2016
20,2016,8,31,1,0,Newark Firehouse,40.720989,-74.192892,8/31/2016
59,2016,9,3,1,0,Newark Firehouse,40.720989,-74.192892,9/3/2016
11,2016,9,6,1,0,Newark Firehouse,40.720989,-74.192892,9/6/2016
17,2016,9,9,1,0,Newark Firehouse,40.720989,-74.192892,9/9/2016
12,2016,9,12,1,0,Newark Firehouse,40.720989,-74.192892,9/12/2016
7,2016,9,15,1,0,Newark Firehouse,40.720989,-74.192892,9/15/2016
15,2016,9,18,1,0,Newark Firehouse,40.720989,-74.192892,9/18/2016
15,2016,9,21,1,0,Newark Firehouse,40.720989,-74.192892,9/21/2016
9,2016,9,30,1,0,Newark Firehouse,40.720989,-74.192892,9/30/2016
13,2016,10,3,1,0,Newark Firehouse,40.720989,-74.192892,10/3/2016
28,2016,10,6,1,0,Newark Firehouse,40.720989,-74.192892,10/6/2016
7,2016,10,9,1,0,Newark Firehouse,40.720989,-74.192892,10/9/2016
21,2016,10,12,1,0,Newark Firehouse,40.720989,-74.192892,10/12/2016
11,2016,10,15,1,0,Newark Firehouse,40.720989,-74.192892,10/15/2016
25,2016,10,18,1,0,Newark Firehouse,40.720989,-74.192892,10/18/2016
20,2016,10,21,1,0,Newark Firehouse,40.720989,-74.192892,10/21/2016
9,2016,10,24,1,0,Newark Firehouse,40.720989,-74.192892,10/24/2016
8,2016,10,27,1,0,Newark Firehouse,40.720989,-74.192892,10/27/2016
16,2016,10,30,1,0,Newark Firehouse,40.720989,-74.192892,10/30/2016
38,2016,11,2,1,0,Newark Firehouse,40.720989,-74.192892,11/2/2016
10,2016,11,5,1,0,Newark Firehouse,40.720989,-74.192892,11/5/2016
30,2016,11,8,1,0,Newark Firehouse,40.720989,-74.192892,11/8/2016
9,2016,11,11,1,0,Newark Firehouse,40.720989,-74.192892,11/11/2016
