DMean PM10,Year,Month,Day,PM-WEIGHT,Target,Site Name,LAt,Lng,Date
22,2018,10,17,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/17/2018
20,2018,10,20,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/20/2018
20,2018,10,23,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/23/2018
8,2018,10,26,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/26/2018
6,2018,10,29,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/29/2018
6,2018,11,1,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/1/2018
9,2018,11,7,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/7/2018
14,2018,11,10,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/10/2018
7,2018,11,16,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/16/2018
24,2018,11,19,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/19/2018
5,2018,11,22,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/22/2018
11,2018,11,25,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/25/2018
7,2018,11,28,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/28/2018
7,2018,12,4,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/4/2018
10,2018,12,7,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/7/2018
7,2018,12,13,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/13/2018
11,2018,12,19,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/19/2018
8,2018,12,22,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/22/2018
9,2018,12,25,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/25/2018
4,2018,12,28,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/28/2018
4,2020,1,1,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/1/2020
2,2020,1,7,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/7/2020
2,2020,1,10,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/10/2020
7,2020,1,13,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/13/2020
7,2020,1,16,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/16/2020
4,2020,1,19,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/19/2020
3,2020,1,22,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/22/2020
3,2020,1,25,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/25/2020
4,2020,1,28,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/28/2020
2,2020,1,31,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/31/2020
6,2020,2,3,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/3/2020
3,2020,2,6,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/6/2020
9,2020,2,9,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/9/2020
3,2020,2,15,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/15/2020
6,2020,2,18,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/18/2020
10,2020,2,21,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/21/2020
14,2020,2,24,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/24/2020
10,2020,2,27,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/27/2020
8,2020,3,1,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/1/2020
15,2020,3,4,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/4/2020
11,2020,8,7,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/7/2020
11,2020,8,10,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/10/2020
11,2020,8,13,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/13/2020
16,2020,8,16,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/16/2020
10,2020,8,19,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/19/2020
8,2020,8,22,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/22/2020
11,2020,8,25,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/25/2020
7,2020,8,28,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/28/2020
6,2020,8,31,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/31/2020
9,2020,9,3,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/3/2020
12,2020,9,6,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/6/2020
38,2020,9,9,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/9/2020
46,2020,9,18,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/18/2020
10,2020,9,21,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/21/2020
8,2020,9,24,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/24/2020
7,2020,9,27,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/27/2020
19,2020,9,30,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/30/2020
15,2020,10,3,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/3/2020
13,2020,10,6,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/6/2020
8,2020,10,9,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/9/2020
8,2020,10,12,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/12/2020
12,2020,10,15,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/15/2020
5,2020,10,18,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/18/2020
9,2020,10,21,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/21/2020
9,2020,10,24,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/24/2020
13,2020,10,27,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/27/2020
7,2020,11,8,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/8/2020
7,2020,11,11,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/11/2020
6,2020,11,14,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/14/2020
5,2020,11,17,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/17/2020
7,2020,11,20,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/20/2020
8,2020,11,23,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/23/2020
6,2020,11,26,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/26/2020
11,2020,11,29,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/29/2020
10,2020,12,2,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/2/2020
13,2020,12,5,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/5/2020
4,2020,12,8,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/8/2020
8,2020,12,14,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/14/2020
6,2020,12,17,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/17/2020
7,2020,12,20,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/20/2020
5,2020,12,26,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/26/2020
13,2020,12,29,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/29/2020
