DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,LAt,Lng,Date
31.4,2016,11,2,23,0,Millbrook School,35.856111,-78.574167,11/2/2016
34.1,2016,11,3,19,0,Millbrook School,35.856111,-78.574167,11/3/2016
11.8,2016,11,4,23,0,Millbrook School,35.856111,-78.574167,11/4/2016
26.1,2016,11,5,23,0,Millbrook School,35.856111,-78.574167,11/5/2016
26.1,2016,11,5,23,0,Millbrook School,35.856111,-78.574167,11/5/2016
17.1,2016,11,6,23,0,Millbrook School,35.856111,-78.574167,11/6/2016
25.3,2016,11,7,23,0,Millbrook School,35.856111,-78.574167,11/7/2016
35,2016,11,8,23,0,Millbrook School,35.856111,-78.574167,11/8/2016
35,2016,11,8,23,0,Millbrook School,35.856111,-78.574167,11/8/2016
35,2016,11,8,23,0,Millbrook School,35.856111,-78.574167,11/8/2016
18.7,2016,11,9,23,0,Millbrook School,35.856111,-78.574167,11/9/2016
32.2,2016,11,10,23,0,Millbrook School,35.856111,-78.574167,11/10/2016
16.4,2016,11,11,23,0,Millbrook School,35.856111,-78.574167,11/11/2016
16.4,2016,11,11,23,0,Millbrook School,35.856111,-78.574167,11/11/2016
20.8,2016,11,12,23,0,Millbrook School,35.856111,-78.574167,11/12/2016
29.4,2016,11,13,23,0,Millbrook School,35.856111,-78.574167,11/13/2016
19.1,2016,11,14,23,0,Millbrook School,35.856111,-78.574167,11/14/2016
19.1,2016,11,14,23,0,Millbrook School,35.856111,-78.574167,11/14/2016
19.1,2016,11,14,23,0,Millbrook School,35.856111,-78.574167,11/14/2016
39,2016,11,15,23,0,Millbrook School,35.856111,-78.574167,11/15/2016
42.1,2016,11,16,23,0,Millbrook School,35.856111,-78.574167,11/16/2016
38.3,2016,11,17,19,0,Millbrook School,35.856111,-78.574167,11/17/2016
38.3,2016,11,17,19,0,Millbrook School,35.856111,-78.574167,11/17/2016
54.4,2016,11,18,23,0,Millbrook School,35.856111,-78.574167,11/18/2016
21.8,2016,11,19,23,0,Millbrook School,35.856111,-78.574167,11/19/2016
5.9,2016,11,20,23,0,Millbrook School,35.856111,-78.574167,11/20/2016
5.9,2016,11,20,23,0,Millbrook School,35.856111,-78.574167,11/20/2016
5.9,2016,11,20,23,0,Millbrook School,35.856111,-78.574167,11/20/2016
24.9,2016,11,21,23,0,Millbrook School,35.856111,-78.574167,11/21/2016
35.3,2016,11,22,23,0,Millbrook School,35.856111,-78.574167,11/22/2016
34.7,2016,11,23,23,0,Millbrook School,35.856111,-78.574167,11/23/2016
34.7,2016,11,23,23,0,Millbrook School,35.856111,-78.574167,11/23/2016
27.3,2016,11,24,23,0,Millbrook School,35.856111,-78.574167,11/24/2016
19.3,2016,11,25,23,0,Millbrook School,35.856111,-78.574167,11/25/2016
12.5,2016,11,26,23,0,Millbrook School,35.856111,-78.574167,11/26/2016
12.5,2016,11,26,23,0,Millbrook School,35.856111,-78.574167,11/26/2016
12.5,2016,11,26,23,0,Millbrook School,35.856111,-78.574167,11/26/2016
25.7,2016,11,27,23,0,Millbrook School,35.856111,-78.574167,11/27/2016
20.7,2016,11,28,23,0,Millbrook School,35.856111,-78.574167,11/28/2016
9.9,2016,11,30,23,0,Millbrook School,35.856111,-78.574167,11/30/2016
34.4,2016,12,1,19,0,Millbrook School,35.856111,-78.574167,12/1/2016
