DMax NO2,NO2-WEIGHT,Year,Month,Day,Flag,Site Name,Lat,Lng,Date
60.9,21,2020,11,8,0,Newark Firehouse,40.720989,-74.192892,11/8/2020
20.9,24,2020,11,11,0,Newark Firehouse,40.720989,-74.192892,11/11/2020
37.6,24,2020,11,17,0,Newark Firehouse,40.720989,-74.192892,11/17/2020
34.1,21,2020,11,29,0,Newark Firehouse,40.720989,-74.192892,11/29/2020
16.8,24,2020,12,2,0,Newark Firehouse,40.720989,-74.192892,12/2/2020
31.6,24,2020,12,5,0,Newark Firehouse,40.720989,-74.192892,12/5/2020
21.4,24,2020,12,14,0,Newark Firehouse,40.720989,-74.192892,12/14/2020
23.8,24,2020,12,17,0,Newark Firehouse,40.720989,-74.192892,12/17/2020
12.8,24,2020,12,26,0,Newark Firehouse,40.720989,-74.192892,12/26/2020
18,24,2020,12,29,0,Newark Firehouse,40.720989,-74.192892,12/29/2020
30,24,2020,1,4,0,QUEENS COLLEGE 2,40.73614,-73.82153,1/4/2020
43.6,21,2020,1,10,0,QUEENS COLLEGE 2,40.73614,-73.82153,1/10/2020
61.9,24,2020,1,22,0,QUEENS COLLEGE 2,40.73614,-73.82153,1/22/2020
16.8,24,2020,1,28,0,QUEENS COLLEGE 2,40.73614,-73.82153,1/28/2020
48.6,24,2020,2,3,0,QUEENS COLLEGE 2,40.73614,-73.82153,2/3/2020
26.2,24,2020,2,9,0,QUEENS COLLEGE 2,40.73614,-73.82153,2/9/2020
25.7,24,2020,2,15,0,QUEENS COLLEGE 2,40.73614,-73.82153,2/15/2020
31.2,24,2020,2,21,0,QUEENS COLLEGE 2,40.73614,-73.82153,2/21/2020
24.6,24,2020,2,27,0,QUEENS COLLEGE 2,40.73614,-73.82153,2/27/2020
18.1,24,2020,3,4,0,QUEENS COLLEGE 2,40.73614,-73.82153,3/4/2020
23.7,24,2020,6,8,0,QUEENS COLLEGE 2,40.73614,-73.82153,6/8/2020
8.5,24,2020,6,14,0,QUEENS COLLEGE 2,40.73614,-73.82153,6/14/2020
29.3,24,2020,6,20,0,QUEENS COLLEGE 2,40.73614,-73.82153,6/20/2020
29.6,24,2020,6,26,0,QUEENS COLLEGE 2,40.73614,-73.82153,6/26/2020
27.8,24,2020,7,2,0,QUEENS COLLEGE 2,40.73614,-73.82153,7/2/2020
12.3,24,2020,7,8,0,QUEENS COLLEGE 2,40.73614,-73.82153,7/8/2020
12.7,24,2020,7,14,0,QUEENS COLLEGE 2,40.73614,-73.82153,7/14/2020
16.1,24,2020,7,26,0,QUEENS COLLEGE 2,40.73614,-73.82153,7/26/2020
28.1,24,2020,8,1,0,QUEENS COLLEGE 2,40.73614,-73.82153,8/1/2020
24.5,24,2020,8,7,0,QUEENS COLLEGE 2,40.73614,-73.82153,8/7/2020
30,24,2020,8,13,0,QUEENS COLLEGE 2,40.73614,-73.82153,8/13/2020
21.8,24,2020,8,19,0,QUEENS COLLEGE 2,40.73614,-73.82153,8/19/2020
23.7,24,2020,8,25,0,QUEENS COLLEGE 2,40.73614,-73.82153,8/25/2020
14,24,2020,8,31,0,QUEENS COLLEGE 2,40.73614,-73.82153,8/31/2020
15.8,24,2020,9,6,0,QUEENS COLLEGE 2,40.73614,-73.82153,9/6/2020
10,24,2020,9,12,0,QUEENS COLLEGE 2,40.73614,-73.82153,9/12/2020
19.1,24,2020,9,18,0,QUEENS COLLEGE 2,40.73614,-73.82153,9/18/2020
48.9,24,2020,9,24,0,QUEENS COLLEGE 2,40.73614,-73.82153,9/24/2020
29.5,24,2020,10,6,0,QUEENS COLLEGE 2,40.73614,-73.82153,10/6/2020
6.6,24,2020,10,12,0,QUEENS COLLEGE 2,40.73614,-73.82153,10/12/2020
24.7,24,2020,10,18,0,QUEENS COLLEGE 2,40.73614,-73.82153,10/18/2020
11.3,24,2020,10,24,0,QUEENS COLLEGE 2,40.73614,-73.82153,10/24/2020
20.5,24,2020,10,30,0,QUEENS COLLEGE 2,40.73614,-73.82153,10/30/2020
24.6,24,2020,11,11,0,QUEENS COLLEGE 2,40.73614,-73.82153,11/11/2020
36.5,24,2020,11,17,0,QUEENS COLLEGE 2,40.73614,-73.82153,11/17/2020
25.7,24,2020,11,23,0,QUEENS COLLEGE 2,40.73614,-73.82153,11/23/2020
33.4,24,2020,11,29,0,QUEENS COLLEGE 2,40.73614,-73.82153,11/29/2020
34.2,24,2020,12,5,0,QUEENS COLLEGE 2,40.73614,-73.82153,12/5/2020
48.5,22,2020,12,11,0,QUEENS COLLEGE 2,40.73614,-73.82153,12/11/2020
19.9,24,2020,12,17,0,QUEENS COLLEGE 2,40.73614,-73.82153,12/17/2020
33.3,24,2020,12,23,0,QUEENS COLLEGE 2,40.73614,-73.82153,12/23/2020
23.4,24,2020,12,29,0,QUEENS COLLEGE 2,40.73614,-73.82153,12/29/2020
