DMean PM10,Year,Month,Day,PM-WEIGHT,Flag,Site Name,Lat,Lng,Date
11,2016,3,3,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/3/2016
8,2016,3,4,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/4/2016
20,2016,3,5,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/5/2016
9,2016,3,6,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/6/2016
11,2016,3,12,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/12/2016
6,2016,3,13,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/13/2016
10,2016,3,14,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/14/2016
5,2016,3,15,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/15/2016
6,2016,3,16,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/16/2016
6,2016,3,17,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/17/2016
6,2016,3,18,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/18/2016
4,2016,3,19,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/19/2016
7,2016,3,20,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/20/2016
7,2016,3,21,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/21/2016
13,2016,3,22,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/22/2016
14,2016,3,23,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/23/2016
8,2016,3,24,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/24/2016
3,2016,3,25,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/25/2016
6,2016,3,26,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/26/2016
4,2016,3,27,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/27/2016
11,2016,3,28,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/28/2016
4,2016,3,30,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/30/2016
4,2016,3,31,1,0,Cheyenne NCore,41.18222711,-104.7783342,3/31/2016
6,2016,4,1,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/1/2016
5,2016,4,2,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/2/2016
4,2016,4,3,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/3/2016
10,2016,4,5,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/5/2016
8,2016,4,6,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/6/2016
7,2016,4,7,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/7/2016
14,2016,4,8,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/8/2016
11,2016,4,9,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/9/2016
5,2016,4,10,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/10/2016
10,2016,4,11,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/11/2016
5,2016,4,12,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/12/2016
7,2016,4,13,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/13/2016
8,2016,4,14,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/14/2016
5,2016,4,15,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/15/2016
5,2016,4,16,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/16/2016
5,2016,4,17,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/17/2016
8,2016,4,19,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/19/2016
2,2016,4,20,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/20/2016
13,2016,4,22,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/22/2016
12,2016,4,23,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/23/2016
3,2016,4,24,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/24/2016
6,2016,4,25,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/25/2016
1,2016,4,26,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/26/2016
2,2016,4,27,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/27/2016
4,2016,4,28,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/28/2016
4,2016,4,29,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/29/2016
2,2016,4,30,1,0,Cheyenne NCore,41.18222711,-104.7783342,4/30/2016
8,2016,5,1,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/1/2016
11,2016,5,3,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/3/2016
9,2016,5,4,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/4/2016
16,2016,5,5,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/5/2016
20,2016,5,6,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/6/2016
24,2016,5,7,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/7/2016
7,2016,5,8,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/8/2016
4,2016,5,9,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/9/2016
5,2016,5,10,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/10/2016
10,2016,5,12,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/12/2016
8,2016,5,13,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/13/2016
9,2016,5,14,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/14/2016
16,2016,5,15,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/15/2016
4,2016,5,17,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/17/2016
6,2016,5,18,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/18/2016
8,2016,5,19,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/19/2016
10,2016,5,20,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/20/2016
16,2016,5,21,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/21/2016
10,2016,5,22,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/22/2016
14,2016,5,23,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/23/2016
15,2016,5,24,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/24/2016
11,2016,5,25,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/25/2016
8,2016,5,26,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/26/2016
5,2016,5,27,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/27/2016
4,2016,5,28,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/28/2016
5,2016,5,29,1,0,Cheyenne NCore,41.18222711,-104.7783342,5/29/2016
13,2016,8,13,1,0,Cheyenne NCore,41.18222711,-104.7783342,8/13/2016
14,2016,8,14,1,0,Cheyenne NCore,41.18222711,-104.7783342,8/14/2016
15,2016,8,15,1,0,Cheyenne NCore,41.18222711,-104.7783342,8/15/2016
18,2016,8,17,1,0,Cheyenne NCore,41.18222711,-104.7783342,8/17/2016
14,2016,8,18,1,0,Cheyenne NCore,41.18222711,-104.7783342,8/18/2016
