DMax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag,Site Name,Lat,Lng,Date
0.061,2016,7,23,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/23/2016
0.048,2016,8,4,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
0.048,2016,8,4,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
0.054,2016,8,10,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
0.054,2016,8,10,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
0.046,2016,8,22,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
0.046,2016,8,22,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
0.051,2016,8,28,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
0.051,2016,8,28,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
0.044,2016,9,3,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
0.044,2016,9,3,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
0.048,2016,9,9,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
0.048,2016,9,9,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
0.043,2016,9,15,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
0.043,2016,9,15,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
0.055,2016,9,27,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
0.055,2016,9,27,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
0.042,2016,10,3,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
0.042,2016,10,3,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
0.069,2016,10,9,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
0.069,2016,10,9,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
0.03,2016,10,15,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
0.03,2016,10,15,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
0.042,2016,10,21,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
0.042,2016,10,21,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
0.025,2016,10,27,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
0.025,2016,10,27,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
0.028,2016,11,2,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
0.028,2016,11,2,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
0.041,2016,11,8,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
0.041,2016,11,8,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
0.044,2016,11,14,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
0.044,2016,11,14,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
0.028,2016,11,20,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
0.028,2016,11,20,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
0.036,2016,11,26,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
0.036,2016,11,26,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
0.031,2016,12,8,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
0.031,2016,12,8,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
0.015,2016,12,14,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/14/2016
0.021,2016,12,20,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/20/2016
0.031,2016,12,26,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
0.031,2016,12,26,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
0.031,2016,1,7,17,0,Long Beach (Hudson),33.8025,-118.22,1/7/2016
0.017,2016,1,13,17,0,Long Beach (Hudson),33.8025,-118.22,1/13/2016
0.019,2016,1,19,17,0,Long Beach (Hudson),33.8025,-118.22,1/19/2016
0.022,2016,1,25,17,0,Long Beach (Hudson),33.8025,-118.22,1/25/2016
0.034,2016,1,31,17,0,Long Beach (Hudson),33.8025,-118.22,1/31/2016
0.029,2016,2,12,17,0,Long Beach (Hudson),33.8025,-118.22,2/12/2016
0.033,2016,2,18,17,0,Long Beach (Hudson),33.8025,-118.22,2/18/2016
0.036,2016,2,24,17,0,Long Beach (Hudson),33.8025,-118.22,2/24/2016
0.039,2016,3,1,17,0,Long Beach (Hudson),33.8025,-118.22,3/1/2016
0.036,2016,3,7,17,0,Long Beach (Hudson),33.8025,-118.22,3/7/2016
0.037,2016,3,13,17,0,Long Beach (Hudson),33.8025,-118.22,3/13/2016
0.05,2016,3,19,17,0,Long Beach (Hudson),33.8025,-118.22,3/19/2016
0.042,2016,3,25,17,0,Long Beach (Hudson),33.8025,-118.22,3/25/2016
0.037,2016,3,31,17,0,Long Beach (Hudson),33.8025,-118.22,3/31/2016
0.03,2016,4,6,17,0,Long Beach (Hudson),33.8025,-118.22,4/6/2016
0.029,2016,4,12,17,0,Long Beach (Hudson),33.8025,-118.22,4/12/2016
0.049,2016,4,18,17,0,Long Beach (Hudson),33.8025,-118.22,4/18/2016
0.046,2016,4,24,17,0,Long Beach (Hudson),33.8025,-118.22,4/24/2016
0.045,2016,4,30,17,0,Long Beach (Hudson),33.8025,-118.22,4/30/2016
0.035,2016,5,6,17,0,Long Beach (Hudson),33.8025,-118.22,5/6/2016
0.039,2016,5,12,17,0,Long Beach (Hudson),33.8025,-118.22,5/12/2016
0.037,2016,5,18,17,0,Long Beach (Hudson),33.8025,-118.22,5/18/2016
0.028,2016,5,24,17,0,Long Beach (Hudson),33.8025,-118.22,5/24/2016
0.043,2016,5,30,17,0,Long Beach (Hudson),33.8025,-118.22,5/30/2016
0.034,2016,6,5,17,0,Long Beach (Hudson),33.8025,-118.22,6/5/2016
0.03,2016,6,11,17,0,Long Beach (Hudson),33.8025,-118.22,6/11/2016
0.055,2016,6,17,17,0,Long Beach (Hudson),33.8025,-118.22,6/17/2016
0.029,2016,6,23,17,0,Long Beach (Hudson),33.8025,-118.22,6/23/2016
0.035,2016,6,29,17,0,Long Beach (Hudson),33.8025,-118.22,6/29/2016
0.04,2016,7,5,17,0,Long Beach (Hudson),33.8025,-118.22,7/5/2016
0.035,2016,7,11,17,0,Long Beach (Hudson),33.8025,-118.22,7/11/2016
0.041,2016,7,17,14,0,Long Beach (Hudson),33.8025,-118.22,7/17/2016
0.037,2016,7,23,14,0,Long Beach (Hudson),33.8025,-118.22,7/23/2016
0.034,2016,7,29,17,0,Long Beach (Hudson),33.8025,-118.22,7/29/2016
0.031,2016,8,4,14,0,Long Beach (Hudson),33.8025,-118.22,8/4/2016
0.042,2016,8,10,14,0,Long Beach (Hudson),33.8025,-118.22,8/10/2016
0.035,2016,8,16,14,0,Long Beach (Hudson),33.8025,-118.22,8/16/2016
0.031,2016,8,22,14,0,Long Beach (Hudson),33.8025,-118.22,8/22/2016
0.041,2016,8,28,14,0,Long Beach (Hudson),33.8025,-118.22,8/28/2016
0.034,2016,9,3,17,0,Long Beach (Hudson),33.8025,-118.22,9/3/2016
0.037,2016,9,9,17,0,Long Beach (Hudson),33.8025,-118.22,9/9/2016
0.028,2016,9,15,17,0,Long Beach (Hudson),33.8025,-118.22,9/15/2016
0.032,2016,9,21,17,0,Long Beach (Hudson),33.8025,-118.22,9/21/2016
0.044,2016,9,27,17,0,Long Beach (Hudson),33.8025,-118.22,9/27/2016
0.035,2016,10,3,17,0,Long Beach (Hudson),33.8025,-118.22,10/3/2016
0.059,2016,10,9,17,0,Long Beach (Hudson),33.8025,-118.22,10/9/2016
0.021,2016,10,15,17,0,Long Beach (Hudson),33.8025,-118.22,10/15/2016
0.009,2016,10,27,17,0,Long Beach (Hudson),33.8025,-118.22,10/27/2016
0.032,2016,11,8,17,0,Long Beach (Hudson),33.8025,-118.22,11/8/2016
0.022,2016,11,14,17,0,Long Beach (Hudson),33.8025,-118.22,11/14/2016
0.025,2016,11,20,17,0,Long Beach (Hudson),33.8025,-118.22,11/20/2016
0.039,2016,11,26,17,0,Long Beach (Hudson),33.8025,-118.22,11/26/2016
0.025,2016,12,2,17,0,Long Beach (Hudson),33.8025,-118.22,12/2/2016
0.025,2016,12,8,17,0,Long Beach (Hudson),33.8025,-118.22,12/8/2016
0.012,2016,12,14,17,0,Long Beach (Hudson),33.8025,-118.22,12/14/2016
0.014,2016,12,20,17,0,Long Beach (Hudson),33.8025,-118.22,12/20/2016
0.03,2016,12,26,17,0,Long Beach (Hudson),33.8025,-118.22,12/26/2016
0.04,2016,1,1,17,0,LAX Hastings,33.95507,-118.43049,1/1/2016
0.043,2016,1,7,17,0,LAX Hastings,33.95507,-118.43049,1/7/2016
0.033,2016,1,13,17,0,LAX Hastings,33.95507,-118.43049,1/13/2016
0.039,2016,1,25,17,0,LAX Hastings,33.95507,-118.43049,1/25/2016
0.043,2016,1,31,17,0,LAX Hastings,33.95507,-118.43049,1/31/2016
0.045,2016,2,6,17,0,LAX Hastings,33.95507,-118.43049,2/6/2016
0.041,2016,2,12,17,0,LAX Hastings,33.95507,-118.43049,2/12/2016
0.046,2016,2,18,17,0,LAX Hastings,33.95507,-118.43049,2/18/2016
0.053,2016,2,24,17,0,LAX Hastings,33.95507,-118.43049,2/24/2016
0.059,2016,3,1,17,0,LAX Hastings,33.95507,-118.43049,3/1/2016
0.047,2016,3,7,17,0,LAX Hastings,33.95507,-118.43049,3/7/2016
0.045,2016,3,13,17,0,LAX Hastings,33.95507,-118.43049,3/13/2016
0.061,2016,3,19,17,0,LAX Hastings,33.95507,-118.43049,3/19/2016
0.07,2016,4,18,17,0,LAX Hastings,33.95507,-118.43049,4/18/2016
0.052,2016,4,24,17,0,LAX Hastings,33.95507,-118.43049,4/24/2016
0.05,2016,4,30,17,0,LAX Hastings,33.95507,-118.43049,4/30/2016
0.041,2016,5,6,17,0,LAX Hastings,33.95507,-118.43049,5/6/2016
0.046,2016,5,18,17,0,LAX Hastings,33.95507,-118.43049,5/18/2016
0.033,2016,5,24,15,0,LAX Hastings,33.95507,-118.43049,5/24/2016
0.047,2016,5,30,17,0,LAX Hastings,33.95507,-118.43049,5/30/2016
0.039,2016,6,5,17,0,LAX Hastings,33.95507,-118.43049,6/5/2016
0.031,2016,6,11,17,0,LAX Hastings,33.95507,-118.43049,6/11/2016
0.051,2016,6,17,17,0,LAX Hastings,33.95507,-118.43049,6/17/2016
0.047,2016,6,23,17,0,LAX Hastings,33.95507,-118.43049,6/23/2016
0.047,2016,6,29,17,0,LAX Hastings,33.95507,-118.43049,6/29/2016
0.045,2016,7,5,17,0,LAX Hastings,33.95507,-118.43049,7/5/2016
0.038,2016,7,11,17,0,LAX Hastings,33.95507,-118.43049,7/11/2016
0.044,2016,7,17,17,0,LAX Hastings,33.95507,-118.43049,7/17/2016
0.042,2016,7,23,17,0,LAX Hastings,33.95507,-118.43049,7/23/2016
0.035,2016,7,29,17,0,LAX Hastings,33.95507,-118.43049,7/29/2016
0.044,2016,8,4,17,0,LAX Hastings,33.95507,-118.43049,8/4/2016
0.038,2016,8,16,17,0,LAX Hastings,33.95507,-118.43049,8/16/2016
0.04,2016,8,28,17,0,LAX Hastings,33.95507,-118.43049,8/28/2016
0.04,2016,9,3,17,0,LAX Hastings,33.95507,-118.43049,9/3/2016
0.045,2016,9,9,17,0,LAX Hastings,33.95507,-118.43049,9/9/2016
0.043,2016,9,15,17,0,LAX Hastings,33.95507,-118.43049,9/15/2016
0.057,2016,9,27,17,0,LAX Hastings,33.95507,-118.43049,9/27/2016
0.045,2016,10,3,17,0,LAX Hastings,33.95507,-118.43049,10/3/2016
0.059,2016,10,9,17,0,LAX Hastings,33.95507,-118.43049,10/9/2016
0.044,2016,10,21,17,0,LAX Hastings,33.95507,-118.43049,10/21/2016
0.029,2016,10,27,17,0,LAX Hastings,33.95507,-118.43049,10/27/2016
0.038,2016,11,2,17,0,LAX Hastings,33.95507,-118.43049,11/2/2016
0.05,2016,11,8,17,0,LAX Hastings,33.95507,-118.43049,11/8/2016
0.044,2016,11,14,17,0,LAX Hastings,33.95507,-118.43049,11/14/2016
0.033,2016,11,20,17,0,LAX Hastings,33.95507,-118.43049,11/20/2016
0.044,2016,11,26,17,0,LAX Hastings,33.95507,-118.43049,11/26/2016
0.045,2016,12,2,17,0,LAX Hastings,33.95507,-118.43049,12/2/2016
0.038,2016,12,8,17,0,LAX Hastings,33.95507,-118.43049,12/8/2016
0.029,2016,12,14,17,0,LAX Hastings,33.95507,-118.43049,12/14/2016
0.024,2016,12,21,17,0,LAX Hastings,33.95507,-118.43049,12/21/2016
0.031,2016,12,26,17,0,LAX Hastings,33.95507,-118.43049,12/26/2016
0.024,2018,1,2,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/2/2018
0.024,2018,1,2,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/2/2018
0.017,2018,1,8,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/8/2018
0.017,2018,1,8,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/8/2018
0.04,2018,1,14,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/14/2018
0.04,2018,1,14,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/14/2018
0.039,2018,1,20,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/20/2018
0.039,2018,1,20,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/20/2018
0.033,2018,1,26,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/26/2018
0.033,2018,1,26,17,0,Los Angeles-North Main Street,34.06659,-118.22688,1/26/2018
0.018,2018,2,1,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/1/2018
0.018,2018,2,1,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/1/2018
0.037,2018,2,7,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/7/2018
0.037,2018,2,7,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/7/2018
0.037,2018,2,13,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/13/2018
0.037,2018,2,13,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/13/2018
0.041,2018,2,19,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/19/2018
0.041,2018,2,19,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/19/2018
0.046,2018,2,25,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/25/2018
0.046,2018,2,25,17,0,Los Angeles-North Main Street,34.06659,-118.22688,2/25/2018
0.029,2018,3,9,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/9/2018
0.043,2018,3,15,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/15/2018
0.043,2018,3,15,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/15/2018
0.023,2018,3,21,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/21/2018
0.023,2018,3,21,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/21/2018
0.041,2018,3,27,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/27/2018
0.041,2018,3,27,17,0,Los Angeles-North Main Street,34.06659,-118.22688,3/27/2018
0.045,2018,4,2,17,0,Los Angeles-North Main Street,34.06659,-118.22688,4/2/2018
0.049,2018,4,8,17,0,Los Angeles-North Main Street,34.06659,-118.22688,4/8/2018
0.067,2018,4,14,17,0,Los Angeles-North Main Street,34.06659,-118.22688,4/14/2018
0.045,2018,4,20,17,0,Los Angeles-North Main Street,34.06659,-118.22688,4/20/2018
0.045,2018,4,26,17,0,Los Angeles-North Main Street,34.06659,-118.22688,4/26/2018
0.037,2018,5,2,17,0,Los Angeles-North Main Street,34.06659,-118.22688,5/2/2018
0.055,2018,5,8,17,0,Los Angeles-North Main Street,34.06659,-118.22688,5/8/2018
0.041,2018,5,14,17,0,Los Angeles-North Main Street,34.06659,-118.22688,5/14/2018
0.041,2018,5,14,17,0,Los Angeles-North Main Street,34.06659,-118.22688,5/14/2018
0.04,2018,5,26,17,0,Los Angeles-North Main Street,34.06659,-118.22688,5/26/2018
0.042,2018,6,1,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/1/2018
0.042,2018,6,1,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/1/2018
0.054,2018,6,7,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/7/2018
0.054,2018,6,7,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/7/2018
0.049,2018,6,13,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/13/2018
0.049,2018,6,13,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/13/2018
0.043,2018,6,19,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/19/2018
0.043,2018,6,19,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/19/2018
0.044,2018,6,25,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/25/2018
0.044,2018,6,25,17,0,Los Angeles-North Main Street,34.06659,-118.22688,6/25/2018
0.045,2018,7,1,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/1/2018
0.045,2018,7,1,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/1/2018
0.071,2018,7,7,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/7/2018
0.071,2018,7,7,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/7/2018
0.04,2018,7,13,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/13/2018
0.04,2018,7,13,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/13/2018
0.039,2018,7,19,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/19/2018
0.039,2018,7,19,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/19/2018
0.056,2018,7,25,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/25/2018
0.056,2018,7,25,17,0,Los Angeles-North Main Street,34.06659,-118.22688,7/25/2018
0.055,2018,8,24,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/24/2018
0.055,2018,8,24,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/24/2018
0.046,2018,8,30,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/30/2018
0.046,2018,8,30,17,0,Los Angeles-North Main Street,34.06659,-118.22688,8/30/2018
0.041,2018,9,5,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/5/2018
0.041,2018,9,5,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/5/2018
0.045,2018,9,11,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/11/2018
0.045,2018,9,17,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/17/2018
0.045,2018,9,17,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/17/2018
0.052,2018,9,23,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/23/2018
0.052,2018,9,23,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/23/2018
0.045,2018,9,29,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/29/2018
0.045,2018,9,29,17,0,Los Angeles-North Main Street,34.06659,-118.22688,9/29/2018
0.033,2018,10,5,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/5/2018
0.033,2018,10,5,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/5/2018
0.039,2018,10,11,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/11/2018
0.039,2018,10,11,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/11/2018
0.041,2018,10,17,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/17/2018
0.041,2018,10,17,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/17/2018
0.046,2018,10,29,17,0,Los Angeles-North Main Street,34.06659,-118.22688,10/29/2018
0.057,2018,11,4,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/4/2018
0.057,2018,11,4,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/4/2018
0.043,2018,11,10,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/10/2018
0.043,2018,11,10,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/10/2018
0.032,2018,11,22,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/22/2018
0.028,2018,11,28,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/28/2018
0.028,2018,11,28,17,0,Los Angeles-North Main Street,34.06659,-118.22688,11/28/2018
0.008,2018,12,10,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/10/2018
0.023,2018,12,16,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/16/2018
0.014,2018,12,22,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/22/2018
0.035,2018,12,28,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/28/2018
0.035,2018,12,28,17,0,Los Angeles-North Main Street,34.06659,-118.22688,12/28/2018
0.021,2018,1,2,17,0,Long Beach (Hudson),33.8025,-118.22,1/2/2018
0.021,2018,1,8,17,0,Long Beach (Hudson),33.8025,-118.22,1/8/2018
0.033,2018,1,14,17,0,Long Beach (Hudson),33.8025,-118.22,1/14/2018
0.036,2018,1,20,17,0,Long Beach (Hudson),33.8025,-118.22,1/20/2018
0.03,2018,1,26,17,0,Long Beach (Hudson),33.8025,-118.22,1/26/2018
0.009,2018,2,1,17,0,Long Beach (Hudson),33.8025,-118.22,2/1/2018
0.027,2018,2,7,17,0,Long Beach (Hudson),33.8025,-118.22,2/7/2018
0.039,2018,2,13,17,0,Long Beach (Hudson),33.8025,-118.22,2/13/2018
0.04,2018,2,19,17,0,Long Beach (Hudson),33.8025,-118.22,2/19/2018
0.047,2018,2,25,17,0,Long Beach (Hudson),33.8025,-118.22,2/25/2018
0.043,2018,3,3,17,0,Long Beach (Hudson),33.8025,-118.22,3/3/2018
0.029,2018,3,9,17,0,Long Beach (Hudson),33.8025,-118.22,3/9/2018
