DMax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag
0.032,2016,11,8,17,0
0.022,2016,11,14,17,0
0.025,2016,11,20,17,0
0.039,2016,11,26,17,0
0.025,2016,12,2,17,0
0.025,2016,12,8,17,0
0.012,2016,12,14,17,0
0.014,2016,12,20,17,0
0.03,2016,12,26,17,0
0.04,2016,1,1,17,0
0.043,2016,1,7,17,0
0.033,2016,1,13,17,0
0.039,2016,1,25,17,0
0.043,2016,1,31,17,0
0.045,2016,2,6,17,0
0.041,2016,2,12,17,0
0.046,2016,2,18,17,0
0.053,2016,2,24,17,0
0.059,2016,3,1,17,0
0.047,2016,3,7,17,0
0.045,2016,3,13,17,0
0.061,2016,3,19,17,0
0.07,2016,4,18,17,0
0.052,2016,4,24,17,0
0.05,2016,4,30,17,0
0.041,2016,5,6,17,0
0.046,2016,5,18,17,0
0.033,2016,5,24,15,0
0.047,2016,5,30,17,0
0.039,2016,6,5,17,0
0.031,2016,6,11,17,0
0.051,2016,6,17,17,0
0.047,2016,6,23,17,0
0.047,2016,6,29,17,0
0.045,2016,7,5,17,0
0.038,2016,7,11,17,0
0.044,2016,7,17,17,0
0.042,2016,7,23,17,0
0.035,2016,7,29,17,0
0.044,2016,8,4,17,0
0.038,2016,8,16,17,0
0.04,2016,8,28,17,0
0.04,2016,9,3,17,0
0.045,2016,9,9,17,0
0.043,2016,9,15,17,0
0.057,2016,9,27,17,0
0.045,2016,10,3,17,0
0.059,2016,10,9,17,0
0.044,2016,10,21,17,0
0.029,2016,10,27,17,0
0.038,2016,11,2,17,0
0.05,2016,11,8,17,0
0.044,2016,11,14,17,0
0.033,2016,11,20,17,0
0.044,2016,11,26,17,0
0.045,2016,12,2,17,0
0.038,2016,12,8,17,0
0.029,2016,12,14,17,0
0.024,2016,12,21,17,0
0.031,2016,12,26,17,0
0.024,2018,1,2,17,0
0.024,2018,1,2,17,0
0.017,2018,1,8,17,0
0.017,2018,1,8,17,0
0.04,2018,1,14,17,0
0.04,2018,1,14,17,0
0.039,2018,1,20,17,0
0.039,2018,1,20,17,0
0.033,2018,1,26,17,0
0.033,2018,1,26,17,0
0.018,2018,2,1,17,0
0.018,2018,2,1,17,0
0.037,2018,2,7,17,0
0.037,2018,2,7,17,0
0.037,2018,2,13,17,0
0.037,2018,2,13,17,0
0.041,2018,2,19,17,0
0.041,2018,2,19,17,0
0.046,2018,2,25,17,0
0.046,2018,2,25,17,0
0.029,2018,3,9,17,0
0.043,2018,3,15,17,0
0.043,2018,3,15,17,0
0.023,2018,3,21,17,0
0.023,2018,3,21,17,0
0.041,2018,3,27,17,0
0.041,2018,3,27,17,0
0.045,2018,4,2,17,0
0.049,2018,4,8,17,0
0.067,2018,4,14,17,0
0.045,2018,4,20,17,0
0.045,2018,4,26,17,0
0.037,2018,5,2,17,0
0.055,2018,5,8,17,0
0.041,2018,5,14,17,0
0.041,2018,5,14,17,0
0.04,2018,5,26,17,0
0.042,2018,6,1,17,0
0.042,2018,6,1,17,0
0.054,2018,6,7,17,0
0.054,2018,6,7,17,0
0.049,2018,6,13,17,0
0.049,2018,6,13,17,0
0.043,2018,6,19,17,0
0.043,2018,6,19,17,0
0.044,2018,6,25,17,0
0.044,2018,6,25,17,0
0.045,2018,7,1,17,0
0.045,2018,7,1,17,0
0.071,2018,7,7,17,0
0.071,2018,7,7,17,0
0.04,2018,7,13,17,0
0.04,2018,7,13,17,0
0.039,2018,7,19,17,0
0.039,2018,7,19,17,0
0.056,2018,7,25,17,0
0.056,2018,7,25,17,0
0.055,2018,8,24,17,0
0.055,2018,8,24,17,0
0.046,2018,8,30,17,0
0.046,2018,8,30,17,0
0.041,2018,9,5,17,0
0.041,2018,9,5,17,0
0.045,2018,9,11,17,0
0.045,2018,9,17,17,0
0.045,2018,9,17,17,0
0.052,2018,9,23,17,0
0.052,2018,9,23,17,0
0.045,2018,9,29,17,0
0.045,2018,9,29,17,0
0.033,2018,10,5,17,0
0.033,2018,10,5,17,0
0.039,2018,10,11,17,0
0.039,2018,10,11,17,0
0.041,2018,10,17,17,0
0.041,2018,10,17,17,0
0.046,2018,10,29,17,0
0.057,2018,11,4,17,0
0.057,2018,11,4,17,0
0.043,2018,11,10,17,0
0.043,2018,11,10,17,0
0.032,2018,11,22,17,0
0.028,2018,11,28,17,0
0.028,2018,11,28,17,0
0.008,2018,12,10,17,0
0.023,2018,12,16,17,0
0.014,2018,12,22,17,0
0.035,2018,12,28,17,0
0.035,2018,12,28,17,0
0.021,2018,1,2,17,0
0.021,2018,1,8,17,0
0.033,2018,1,14,17,0
0.036,2018,1,20,17,0
0.03,2018,1,26,17,0
0.009,2018,2,1,17,0
0.027,2018,2,7,17,0
0.039,2018,2,13,17,0
0.04,2018,2,19,17,0
0.047,2018,2,25,17,0
0.043,2018,3,3,17,0
0.029,2018,3,9,17,0
0.04,2018,3,15,17,0
0.043,2018,3,27,17,0
0.042,2018,4,2,17,0
0.043,2018,4,8,17,0
0.063,2018,4,14,17,0
0.045,2018,4,20,17,0
0.04,2018,4,26,17,0
0.038,2018,5,2,17,0
0.04,2018,5,8,17,0
0.038,2018,5,14,17,0
0.04,2018,5,20,17,0
0.037,2018,5,26,17,0
0.041,2018,6,7,14,0
0.035,2018,6,13,17,0
0.038,2018,6,25,17,0
0.037,2018,7,1,17,0
0.031,2018,7,7,17,0
0.026,2018,7,13,17,0
0.029,2018,7,25,17,0
0.027,2018,7,31,17,0
0.046,2018,8,6,17,0
0.023,2018,8,12,17,0
0.034,2018,8,18,17,0
0.042,2018,8,24,17,0
0.032,2018,8,30,17,0
0.031,2018,9,11,17,0
0.033,2018,9,17,17,0
0.04,2018,9,23,17,0
0.037,2018,9,29,17,0
0.03,2018,10,5,17,0
0.032,2018,10,11,17,0
0.031,2018,10,17,17,0
0.036,2018,10,23,17,0
0.034,2018,10,29,17,0
0.022,2018,11,4,17,0
0.027,2018,11,10,17,0
0.018,2018,11,16,17,0
0.034,2018,11,22,17,0
0.033,2018,11,28,17,0
0.003,2018,12,10,17,0
0.028,2018,12,16,17,0
0.017,2018,12,22,17,0
0.027,2018,12,28,17,0
0.042,2018,2,13,17,0
0.045,2018,2,19,17,0
0.049,2018,2,25,17,0
0.038,2018,3,7,17,0
0.036,2018,3,9,17,0
0.045,2018,3,15,17,0
0.035,2018,3,21,17,0
0.05,2018,3,27,17,0
0.056,2018,5,8,17,0
0.043,2018,5,14,17,0
0.044,2018,5,20,17,0
0.038,2018,5,26,17,0
0.04,2018,6,1,17,0
0.045,2018,6,7,17,0
0.044,2018,6,13,17,0
0.042,2018,6,19,17,0
0.041,2018,6,25,17,0
0.039,2018,7,1,17,0
0.045,2018,7,7,17,0
0.029,2018,7,13,17,0
0.031,2018,7,19,17,0
0.045,2018,7,25,17,0
0.033,2018,7,31,17,0
0.042,2018,8,6,17,0
