Ozone AQI,DMax Ozone,OZONE-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
40,0.043,14,2016,5,18,Los Angeles-North Main Street,34.06659,-118.22688,5/18/2016
31,0.033,14,2016,5,24,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
31,0.033,14,2016,5,24,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
46,0.05,17,2016,5,30,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
46,0.05,17,2016,5,30,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
43,0.046,17,2016,6,5,Los Angeles-North Main Street,34.06659,-118.22688,6/5/2016
43,0.046,17,2016,6,5,Los Angeles-North Main Street,34.06659,-118.22688,6/5/2016
27,0.029,14,2016,6,11,Los Angeles-North Main Street,34.06659,-118.22688,6/11/2016
27,0.029,14,2016,6,11,Los Angeles-North Main Street,34.06659,-118.22688,6/11/2016
112,0.074,17,2016,6,17,Los Angeles-North Main Street,34.06659,-118.22688,6/17/2016
112,0.074,17,2016,6,17,Los Angeles-North Main Street,34.06659,-118.22688,6/17/2016
42,0.045,17,2016,6,23,Los Angeles-North Main Street,34.06659,-118.22688,6/23/2016
42,0.045,17,2016,6,23,Los Angeles-North Main Street,34.06659,-118.22688,6/23/2016
54,0.056,14,2016,6,29,Los Angeles-North Main Street,34.06659,-118.22688,6/29/2016
54,0.056,14,2016,6,29,Los Angeles-North Main Street,34.06659,-118.22688,6/29/2016
44,0.047,14,2016,7,5,Los Angeles-North Main Street,34.06659,-118.22688,7/5/2016
44,0.047,14,2016,7,5,Los Angeles-North Main Street,34.06659,-118.22688,7/5/2016
46,0.05,14,2016,7,11,Los Angeles-North Main Street,34.06659,-118.22688,7/11/2016
46,0.05,14,2016,7,11,Los Angeles-North Main Street,34.06659,-118.22688,7/11/2016
48,0.052,17,2016,7,17,Los Angeles-North Main Street,34.06659,-118.22688,7/17/2016
48,0.052,17,2016,7,17,Los Angeles-North Main Street,34.06659,-118.22688,7/17/2016
71,0.061,17,2016,7,23,Los Angeles-North Main Street,34.06659,-118.22688,7/23/2016
71,0.061,17,2016,7,23,Los Angeles-North Main Street,34.06659,-118.22688,7/23/2016
44,0.048,17,2016,8,4,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
44,0.048,17,2016,8,4,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
50,0.054,17,2016,8,10,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
50,0.054,17,2016,8,10,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
