DMax Ozone,Ozone AQI,OZONE-WEIGHT,Year,Month,Day,Site Name,LAt,Lng,Date
0.035,32,17,2018,3,30,SEATTLE - BEACON HILL,47.568236,-122.308628,3/30/2018
0.039,36,17,2018,4,2,SEATTLE - BEACON HILL,47.568236,-122.308628,4/2/2018
0.018,17,17,2018,4,5,SEATTLE - BEACON HILL,47.568236,-122.308628,4/5/2018
0.045,42,17,2018,4,11,SEATTLE - BEACON HILL,47.568236,-122.308628,4/11/2018
0.035,32,17,2018,4,14,SEATTLE - BEACON HILL,47.568236,-122.308628,4/14/2018
0.041,38,17,2018,4,17,SEATTLE - BEACON HILL,47.568236,-122.308628,4/17/2018
0.043,40,17,2018,4,20,SEATTLE - BEACON HILL,47.568236,-122.308628,4/20/2018
0.039,36,17,2018,4,23,SEATTLE - BEACON HILL,47.568236,-122.308628,4/23/2018
0.043,40,17,2018,4,26,SEATTLE - BEACON HILL,47.568236,-122.308628,4/26/2018
0.034,31,17,2018,5,2,SEATTLE - BEACON HILL,47.568236,-122.308628,5/2/2018
0.029,27,17,2018,5,5,SEATTLE - BEACON HILL,47.568236,-122.308628,5/5/2018
0.033,31,17,2018,5,8,SEATTLE - BEACON HILL,47.568236,-122.308628,5/8/2018
0.031,29,17,2018,5,11,SEATTLE - BEACON HILL,47.568236,-122.308628,5/11/2018
0.044,41,17,2018,5,14,SEATTLE - BEACON HILL,47.568236,-122.308628,5/14/2018
0.032,30,17,2018,5,17,SEATTLE - BEACON HILL,47.568236,-122.308628,5/17/2018
0.038,35,17,2018,5,23,SEATTLE - BEACON HILL,47.568236,-122.308628,5/23/2018
0.037,34,17,2018,5,26,SEATTLE - BEACON HILL,47.568236,-122.308628,5/26/2018
0.03,28,17,2018,5,29,SEATTLE - BEACON HILL,47.568236,-122.308628,5/29/2018
0.037,34,17,2018,6,1,SEATTLE - BEACON HILL,47.568236,-122.308628,6/1/2018
0.034,31,17,2018,6,4,SEATTLE - BEACON HILL,47.568236,-122.308628,6/4/2018
0.044,41,17,2018,6,7,SEATTLE - BEACON HILL,47.568236,-122.308628,6/7/2018
0.03,28,17,2018,6,10,SEATTLE - BEACON HILL,47.568236,-122.308628,6/10/2018
0.026,24,17,2018,6,13,SEATTLE - BEACON HILL,47.568236,-122.308628,6/13/2018
0.037,34,17,2018,6,16,SEATTLE - BEACON HILL,47.568236,-122.308628,6/16/2018
0.028,26,17,2018,6,19,SEATTLE - BEACON HILL,47.568236,-122.308628,6/19/2018
0.02,19,17,2018,6,22,SEATTLE - BEACON HILL,47.568236,-122.308628,6/22/2018
0.03,28,17,2018,6,25,SEATTLE - BEACON HILL,47.568236,-122.308628,6/25/2018
0.024,22,17,2018,6,28,SEATTLE - BEACON HILL,47.568236,-122.308628,6/28/2018
0.026,24,17,2018,7,7,SEATTLE - BEACON HILL,47.568236,-122.308628,7/7/2018
0.029,27,17,2018,7,10,SEATTLE - BEACON HILL,47.568236,-122.308628,7/10/2018
0.032,30,17,2018,7,13,SEATTLE - BEACON HILL,47.568236,-122.308628,7/13/2018
0.036,33,17,2018,7,16,SEATTLE - BEACON HILL,47.568236,-122.308628,7/16/2018
0.022,20,17,2018,7,19,SEATTLE - BEACON HILL,47.568236,-122.308628,7/19/2018
0.036,33,17,2018,7,22,SEATTLE - BEACON HILL,47.568236,-122.308628,7/22/2018
0.039,36,17,2018,7,25,SEATTLE - BEACON HILL,47.568236,-122.308628,7/25/2018
0.024,22,17,2018,7,28,SEATTLE - BEACON HILL,47.568236,-122.308628,7/28/2018
0.03,28,17,2018,7,31,SEATTLE - BEACON HILL,47.568236,-122.308628,7/31/2018
0.021,19,17,2018,8,3,SEATTLE - BEACON HILL,47.568236,-122.308628,8/3/2018
0.023,21,17,2018,8,6,SEATTLE - BEACON HILL,47.568236,-122.308628,8/6/2018
0.042,39,17,2018,8,9,SEATTLE - BEACON HILL,47.568236,-122.308628,8/9/2018
