Ozone AQI,DMax Ozone,OZONE-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
39,0.042,17,2016,8,28,Newark Firehouse,40.720989,-74.192892,8/28/2016
58,0.057,17,2016,8,31,Newark Firehouse,40.720989,-74.192892,8/31/2016
30,0.032,17,2016,9,3,Newark Firehouse,40.720989,-74.192892,9/3/2016
28,0.03,17,2016,9,6,Newark Firehouse,40.720989,-74.192892,9/6/2016
42,0.045,17,2016,9,9,Newark Firehouse,40.720989,-74.192892,9/9/2016
29,0.031,17,2016,9,12,Newark Firehouse,40.720989,-74.192892,9/12/2016
31,0.034,17,2016,9,15,Newark Firehouse,40.720989,-74.192892,9/15/2016
29,0.031,17,2016,9,18,Newark Firehouse,40.720989,-74.192892,9/18/2016
44,0.047,17,2016,9,21,Newark Firehouse,40.720989,-74.192892,9/21/2016
19,0.02,17,2016,9,30,Newark Firehouse,40.720989,-74.192892,9/30/2016
25,0.027,17,2016,10,3,Newark Firehouse,40.720989,-74.192892,10/3/2016
22,0.024,17,2016,10,6,Newark Firehouse,40.720989,-74.192892,10/6/2016
18,0.019,17,2016,10,9,Newark Firehouse,40.720989,-74.192892,10/9/2016
21,0.023,17,2016,10,12,Newark Firehouse,40.720989,-74.192892,10/12/2016
29,0.031,17,2016,10,15,Newark Firehouse,40.720989,-74.192892,10/15/2016
38,0.041,17,2016,10,18,Newark Firehouse,40.720989,-74.192892,10/18/2016
10,0.011,17,2016,10,21,Newark Firehouse,40.720989,-74.192892,10/21/2016
31,0.033,17,2016,10,24,Newark Firehouse,40.720989,-74.192892,10/24/2016
7,0.008,17,2016,10,27,Newark Firehouse,40.720989,-74.192892,10/27/2016
33,0.036,17,2016,10,30,Newark Firehouse,40.720989,-74.192892,10/30/2016
21,0.023,17,2016,11,2,Newark Firehouse,40.720989,-74.192892,11/2/2016
26,0.028,17,2016,11,5,Newark Firehouse,40.720989,-74.192892,11/5/2016
10,0.011,17,2016,11,8,Newark Firehouse,40.720989,-74.192892,11/8/2016
28,0.03,17,2016,11,11,Newark Firehouse,40.720989,-74.192892,11/11/2016
25,0.027,17,2016,11,17,Newark Firehouse,40.720989,-74.192892,11/17/2016
31,0.033,17,2016,11,20,Newark Firehouse,40.720989,-74.192892,11/20/2016
27,0.029,17,2016,11,23,Newark Firehouse,40.720989,-74.192892,11/23/2016
17,0.018,17,2016,11,26,Newark Firehouse,40.720989,-74.192892,11/26/2016
15,0.016,17,2016,11,29,Newark Firehouse,40.720989,-74.192892,11/29/2016
15,0.016,17,2016,12,2,Newark Firehouse,40.720989,-74.192892,12/2/2016
15,0.016,17,2016,12,5,Newark Firehouse,40.720989,-74.192892,12/5/2016
15,0.016,17,2016,12,8,Newark Firehouse,40.720989,-74.192892,12/8/2016
16,0.017,17,2016,12,11,Newark Firehouse,40.720989,-74.192892,12/11/2016
3,0.003,17,2016,12,17,Newark Firehouse,40.720989,-74.192892,12/17/2016
17,0.018,17,2016,12,20,Newark Firehouse,40.720989,-74.192892,12/20/2016
23,0.025,17,2018,1,2,Newark Firehouse,40.720989,-74.192892,1/2/2018
31,0.033,17,2018,1,5,Newark Firehouse,40.720989,-74.192892,1/5/2018
12,0.013,17,2018,1,8,Newark Firehouse,40.720989,-74.192892,1/8/2018
1,0.001,17,2018,1,11,Newark Firehouse,40.720989,-74.192892,1/11/2018
