DMax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag,Site Name,LAt,Lng,Date
0.023,2018,8,30,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/30/2018
0.027,2018,9,5,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/5/2018
0.022,2018,10,14,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/14/2018
0.008,2018,10,17,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/17/2018
0.021,2018,10,20,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/20/2018
0.011,2018,10,23,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/23/2018
0.03,2018,10,26,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/26/2018
0.021,2018,10,29,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/29/2018
0.031,2018,11,1,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/1/2018
0.018,2018,11,7,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/7/2018
0.016,2018,11,10,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/10/2018
0.018,2018,11,16,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/16/2018
0.001,2018,11,19,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/19/2018
0.029,2018,11,22,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/22/2018
0.005,2018,11,25,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/25/2018
0.013,2018,11,28,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/28/2018
0.018,2018,12,4,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/4/2018
0.02,2018,12,7,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/7/2018
0.019,2018,12,13,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/13/2018
0.018,2018,12,19,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/19/2018
0.028,2018,12,22,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/22/2018
0.011,2018,12,25,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/25/2018
0.029,2018,12,28,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/28/2018
0.037,2020,1,1,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/1/2020
0.034,2020,1,7,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/7/2020
0.032,2020,1,10,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/10/2020
0.026,2020,1,13,14,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/13/2020
0.029,2020,1,16,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/16/2020
0.031,2020,1,19,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/19/2020
0.019,2020,1,22,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/22/2020
0.021,2020,1,25,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/25/2020
0.024,2020,1,28,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/28/2020
0.034,2020,1,31,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/31/2020
0.03,2020,2,3,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/3/2020
0.02,2020,2,6,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/6/2020
0.021,2020,2,9,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/9/2020
0.033,2020,2,15,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/15/2020
0.026,2020,2,18,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/18/2020
0.028,2020,2,21,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/21/2020
0.036,2020,2,24,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/24/2020
0.022,2020,2,27,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/27/2020
0.032,2020,3,1,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/1/2020
0.034,2020,3,4,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/4/2020
0.031,2020,8,7,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/7/2020
0.029,2020,8,10,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/10/2020
0.039,2020,8,13,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/13/2020
0.051,2020,8,16,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/16/2020
0.03,2020,8,19,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/19/2020
0.033,2020,8,22,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/22/2020
0.027,2020,8,25,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/25/2020
0.027,2020,8,28,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/28/2020
0.029,2020,8,31,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/31/2020
0.028,2020,9,3,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/3/2020
0.027,2020,9,6,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/6/2020
0.057,2020,9,9,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/9/2020
0.014,2020,9,18,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/18/2020
0.021,2020,9,21,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/21/2020
