,Site Name,Date,DMean PM10,PM_UNITS,PM10 AQI,PM-WEIGHT,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone Units,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 Units,SO2 AQI,SO2-WEIGHT,DMax CO,CO Units,CO AQI,CO-WEIGHT
41,Cheyenne SLAMS site,6/7/2018,26.0,ug/m3 SC,24.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
42,Cheyenne SLAMS site,6/7/2018,26.0,ug/m3 SC,24.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
43,Cheyenne SLAMS site,6/13/2018,33.0,ug/m3 SC,31.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
44,Cheyenne SLAMS site,6/19/2018,6.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
45,Cheyenne SLAMS site,6/19/2018,5.0,ug/m3 SC,5.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
46,Cheyenne SLAMS site,6/25/2018,7.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
47,Cheyenne SLAMS site,7/7/2018,21.0,ug/m3 SC,19.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
48,Cheyenne SLAMS site,7/13/2018,16.0,ug/m3 SC,15.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
49,Cheyenne SLAMS site,7/13/2018,16.0,ug/m3 SC,15.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
50,Cheyenne SLAMS site,7/19/2018,17.0,ug/m3 SC,16.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
51,Cheyenne SLAMS site,7/25/2018,13.0,ug/m3 SC,12.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
52,Cheyenne SLAMS site,7/25/2018,14.0,ug/m3 SC,13.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
53,Cheyenne SLAMS site,7/31/2018,26.0,ug/m3 SC,24.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
54,Cheyenne SLAMS site,8/6/2018,15.0,ug/m3 SC,14.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
55,Cheyenne SLAMS site,8/6/2018,15.0,ug/m3 SC,14.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
56,Cheyenne SLAMS site,8/12/2018,21.0,ug/m3 SC,19.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
57,Cheyenne SLAMS site,8/18/2018,14.0,ug/m3 SC,13.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
58,Cheyenne SLAMS site,8/18/2018,14.0,ug/m3 SC,13.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
59,Cheyenne SLAMS site,8/24/2018,45.0,ug/m3 SC,42.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
60,Cheyenne SLAMS site,8/30/2018,16.0,ug/m3 SC,15.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
61,Cheyenne SLAMS site,8/30/2018,17.0,ug/m3 SC,16.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
62,Cheyenne SLAMS site,9/5/2018,20.0,ug/m3 SC,19.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
63,Cheyenne SLAMS site,9/11/2018,26.0,ug/m3 SC,24.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
64,Cheyenne SLAMS site,9/11/2018,22.0,ug/m3 SC,20.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
65,Cheyenne SLAMS site,9/17/2018,22.0,ug/m3 SC,20.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
66,Cheyenne SLAMS site,9/23/2018,18.0,ug/m3 SC,17.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
67,Cheyenne SLAMS site,9/23/2018,16.0,ug/m3 SC,15.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
68,Cheyenne SLAMS site,9/29/2018,9.0,ug/m3 SC,8.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
69,Cheyenne SLAMS site,10/5/2018,7.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
70,Cheyenne SLAMS site,10/5/2018,6.0,ug/m3 SC,6.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
71,Cheyenne SLAMS site,10/11/2018,8.0,ug/m3 SC,7.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
72,Cheyenne SLAMS site,10/17/2018,10.0,ug/m3 SC,9.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
73,Cheyenne SLAMS site,10/17/2018,9.0,ug/m3 SC,8.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
74,Cheyenne SLAMS site,10/23/2018,23.0,ug/m3 SC,21.0,1.0,41.13684585,-104.8182395,,,,,,,,,,,,,,,,
