,Site Name,Date,DMean PM10,PM_UNITS,PM10 AQI,PM-WEIGHT,NYt,Lng,DMax NO2,NO2 Units,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone Units,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 Units,SO2 AQI,SO2-WEIGHT,DMax CO,CO Units,CO AQI,CO-WEIGHT
0,Newark Firehouse,1/1/2020,4.0,ug/m3 SC,4.0,1.0,40.720989,-74.192892,35.5,ppb,33.0,24.0,0.026,ppm,24.0,17.0,0.4,ppb,0.0,24.0,0.3,ppm,3.0,18.0
1,Newark Firehouse,1/4/2020,12.0,ug/m3 SC,11.0,1.0,40.720989,-74.192892,27.4,ppb,25.0,24.0,0.027,ppm,25.0,17.0,0.6,ppb,0.0,24.0,0.7,ppm,8.0,24.0
2,Newark Firehouse,1/7/2020,18.0,ug/m3 SC,17.0,1.0,40.720989,-74.192892,40.0,ppb,38.0,24.0,0.011,ppm,10.0,17.0,0.8,ppb,0.0,24.0,0.5,ppm,6.0,24.0
3,Newark Firehouse,1/10/2020,14.0,ug/m3 SC,13.0,1.0,40.720989,-74.192892,33.0,ppb,31.0,24.0,0.018,ppm,17.0,17.0,0.5,ppb,0.0,24.0,0.4,ppm,5.0,24.0
4,Newark Firehouse,1/13/2020,25.0,ug/m3 SC,23.0,1.0,40.720989,-74.192892,36.1,ppb,34.0,20.0,0.002,ppm,2.0,17.0,0.5,ppb,0.0,23.0,0.9,ppm,10.0,16.0
5,Newark Firehouse,1/16/2020,10.0,ug/m3 SC,9.0,1.0,40.720989,-74.192892,29.3,ppb,27.0,24.0,0.031,ppm,29.0,17.0,0.2,ppb,0.0,24.0,0.9,ppm,10.0,24.0
6,Newark Firehouse,1/19/2020,7.0,ug/m3 SC,6.0,1.0,40.720989,-74.192892,23.2,ppb,22.0,21.0,0.033,ppm,31.0,17.0,0.2,ppb,0.0,24.0,0.3,ppm,3.0,24.0
7,Newark Firehouse,1/25/2020,12.0,ug/m3 SC,11.0,1.0,40.720989,-74.192892,39.9,ppb,37.0,24.0,0.023,ppm,21.0,17.0,0.6,ppb,0.0,24.0,0.5,ppm,6.0,24.0
8,Newark Firehouse,1/28/2020,3.0,ug/m3 SC,3.0,1.0,40.720989,-74.192892,15.5,ppb,14.0,24.0,0.035,ppm,32.0,17.0,0.0,ppb,0.0,24.0,0.3,ppm,3.0,24.0
9,Newark Firehouse,1/31/2020,20.0,ug/m3 SC,19.0,1.0,40.720989,-74.192892,51.5,ppb,48.0,24.0,0.016,ppm,15.0,17.0,1.3,ppb,1.0,24.0,0.8,ppm,9.0,24.0
10,Newark Firehouse,2/3/2020,17.0,ug/m3 SC,16.0,1.0,40.720989,-74.192892,54.6,ppb,51.0,24.0,0.027,ppm,25.0,17.0,1.1,ppb,1.0,23.0,1.1,ppm,13.0,24.0
11,Newark Firehouse,2/6/2020,10.0,ug/m3 SC,9.0,1.0,40.720989,-74.192892,36.0,ppb,34.0,24.0,0.007,ppm,6.0,17.0,0.4,ppb,0.0,24.0,0.5,ppm,6.0,24.0
12,Newark Firehouse,2/9/2020,16.0,ug/m3 SC,15.0,1.0,40.720989,-74.192892,36.7,ppb,34.0,21.0,0.024,ppm,22.0,17.0,0.9,ppb,0.0,24.0,0.6,ppm,7.0,24.0
13,Newark Firehouse,2/12/2020,10.0,ug/m3 SC,9.0,1.0,40.720989,-74.192892,28.0,ppb,26.0,24.0,0.032,ppm,30.0,17.0,0.4,ppb,0.0,24.0,0.3,ppm,3.0,24.0
14,Newark Firehouse,2/15/2020,10.0,ug/m3 SC,9.0,1.0,40.720989,-74.192892,27.9,ppb,25.0,24.0,0.025,ppm,23.0,17.0,0.3,ppb,0.0,24.0,0.3,ppm,3.0,24.0
15,Newark Firehouse,2/21/2020,9.0,ug/m3 SC,8.0,1.0,40.720989,-74.192892,36.0,ppb,34.0,24.0,0.037,ppm,34.0,17.0,0.3,ppb,0.0,24.0,0.3,ppm,3.0,24.0
16,Newark Firehouse,2/24/2020,32.0,ug/m3 SC,30.0,1.0,40.720989,-74.192892,53.7,ppb,50.0,24.0,0.024,ppm,22.0,17.0,1.0,ppb,1.0,23.0,0.6,ppm,7.0,24.0
17,Newark Firehouse,2/27/2020,4.0,ug/m3 SC,4.0,1.0,40.720989,-74.192892,17.0,ppb,16.0,24.0,0.038,ppm,35.0,17.0,0.2,ppb,0.0,24.0,0.3,ppm,3.0,24.0
18,Newark Firehouse,3/1/2020,7.0,ug/m3 SC,6.0,1.0,40.720989,-74.192892,43.8,ppb,41.0,21.0,0.041,ppm,38.0,17.0,0.4,ppb,0.0,24.0,0.4,ppm,5.0,24.0
19,Newark Firehouse,3/4/2020,5.0,ug/m3 SC,5.0,1.0,40.720989,-74.192892,15.0,ppb,14.0,24.0,0.039,ppm,36.0,17.0,0.3,ppb,0.0,21.0,0.3,ppm,3.0,24.0
20,Newark Firehouse,3/7/2020,5.0,ug/m3 SC,5.0,1.0,40.720989,-74.192892,13.5,ppb,12.0,24.0,0.04,ppm,37.0,17.0,0.0,ppb,0.0,24.0,0.3,ppm,3.0,24.0
21,Newark Firehouse,3/10/2020,17.0,ug/m3 SC,16.0,1.0,40.720989,-74.192892,38.2,ppb,36.0,24.0,0.034,ppm,31.0,17.0,0.4,ppb,0.0,24.0,0.3,ppm,3.0,24.0
22,Newark Firehouse,3/16/2020,13.0,ug/m3 SC,12.0,1.0,40.720989,-74.192892,18.6,ppb,17.0,24.0,0.034,ppm,31.0,17.0,0.4,ppb,0.0,23.0,0.3,ppm,3.0,24.0
23,Newark Firehouse,3/19/2020,7.0,ug/m3 SC,6.0,1.0,40.720989,-74.192892,,,,,,,,,,,,,0.2,ppm,2.0,2.0
24,Newark Firehouse,7/5/2020,21.0,ug/m3 SC,19.0,1.0,40.720989,-74.192892,41.3,ppb,39.0,21.0,0.042,ppm,39.0,17.0,0.4,ppb,0.0,24.0,0.5,ppm,6.0,24.0
25,Newark Firehouse,7/8/2020,17.0,ug/m3 SC,16.0,1.0,40.720989,-74.192892,43.4,ppb,41.0,24.0,0.03,ppm,28.0,17.0,0.1,ppb,0.0,24.0,0.5,ppm,6.0,24.0
26,Newark Firehouse,7/11/2020,12.0,ug/m3 SC,11.0,1.0,40.720989,-74.192892,19.6,ppb,18.0,24.0,0.04,ppm,37.0,17.0,0.0,ppb,0.0,24.0,0.3,ppm,3.0,24.0
27,Newark Firehouse,7/14/2020,9.0,ug/m3 SC,8.0,1.0,40.720989,-74.192892,11.9,ppb,10.0,24.0,0.032,ppm,30.0,17.0,0.0,ppb,0.0,24.0,0.2,ppm,2.0,24.0
28,Newark Firehouse,7/17/2020,16.0,ug/m3 SC,15.0,1.0,40.720989,-74.192892,27.3,ppb,25.0,24.0,0.039,ppm,36.0,17.0,0.0,ppb,0.0,24.0,0.4,ppm,5.0,24.0
29,Newark Firehouse,7/20/2020,16.0,ug/m3 SC,15.0,1.0,40.720989,-74.192892,16.1,ppb,15.0,24.0,0.054,ppm,50.0,17.0,0.1,ppb,0.0,23.0,0.3,ppm,3.0,24.0
30,Newark Firehouse,7/23/2020,12.0,ug/m3 SC,11.0,1.0,40.720989,-74.192892,11.0,ppb,10.0,24.0,0.05,ppm,46.0,17.0,0.0,ppb,0.0,24.0,0.2,ppm,2.0,24.0
31,Newark Firehouse,7/26/2020,14.0,ug/m3 SC,13.0,1.0,40.720989,-74.192892,18.3,ppb,17.0,21.0,0.056,ppm,54.0,17.0,0.2,ppb,0.0,24.0,0.3,ppm,3.0,24.0
32,Newark Firehouse,7/29/2020,16.0,ug/m3 SC,15.0,1.0,40.720989,-74.192892,25.4,ppb,24.0,24.0,0.062,ppm,74.0,17.0,0.4,ppb,0.0,24.0,0.3,ppm,3.0,24.0
33,Newark Firehouse,8/1/2020,13.0,ug/m3 SC,12.0,1.0,40.720989,-74.192892,31.9,ppb,29.0,24.0,0.061,ppm,71.0,17.0,0.4,ppb,0.0,24.0,0.5,ppm,6.0,24.0
34,Newark Firehouse,8/4/2020,18.0,ug/m3 SC,17.0,1.0,40.720989,-74.192892,23.0,ppb,22.0,24.0,0.027,ppm,25.0,17.0,0.0,ppb,0.0,24.0,0.2,ppm,2.0,24.0
35,Newark Firehouse,8/7/2020,18.0,ug/m3 SC,17.0,1.0,40.720989,-74.192892,33.0,ppb,31.0,24.0,0.05,ppm,46.0,17.0,0.3,ppb,0.0,24.0,0.5,ppm,6.0,24.0
36,Newark Firehouse,8/10/2020,23.0,ug/m3 SC,21.0,1.0,40.720989,-74.192892,16.1,ppb,15.0,24.0,0.065,ppm,84.0,17.0,0.2,ppb,0.0,23.0,0.3,ppm,3.0,21.0
37,Newark Firehouse,8/13/2020,18.0,ug/m3 SC,17.0,1.0,40.720989,-74.192892,25.1,ppb,24.0,21.0,0.035,ppm,32.0,17.0,0.1,ppb,0.0,24.0,0.4,ppm,5.0,24.0
38,Newark Firehouse,8/16/2020,10.0,ug/m3 SC,9.0,1.0,40.720989,-74.192892,4.8,ppb,4.0,21.0,0.02,ppm,19.0,17.0,0.2,ppb,0.0,24.0,0.2,ppm,2.0,24.0
39,Newark Firehouse,8/19/2020,15.0,ug/m3 SC,14.0,1.0,40.720989,-74.192892,40.8,ppb,38.0,24.0,0.03,ppm,28.0,17.0,0.5,ppb,0.0,24.0,0.5,ppm,6.0,24.0
