NO2 AQI,DMax NO2,NO2-WEIGHT,Year,Month,Day,Site Name,LAt,Lng,Date
39,41.9,24,2018,09,05,SEATTLE - BEACON HILL,47.568236,-122.308628,9/5/2018
25,26.8,24,2018,10,14,SEATTLE - BEACON HILL,47.568236,-122.308628,10/14/2018
54,57.2,24,2018,10,17,SEATTLE - BEACON HILL,47.568236,-122.308628,10/17/2018
13,14.4,24,2018,10,20,SEATTLE - BEACON HILL,47.568236,-122.308628,10/20/2018
25,26.6,24,2018,10,23,SEATTLE - BEACON HILL,47.568236,-122.308628,10/23/2018
14,15.4,24,2018,10,26,SEATTLE - BEACON HILL,47.568236,-122.308628,10/26/2018
24,25,24,2018,10,29,SEATTLE - BEACON HILL,47.568236,-122.308628,10/29/2018
7,7.8,24,2018,11,01,SEATTLE - BEACON HILL,47.568236,-122.308628,11/1/2018
20,21.6,24,2018,11,07,SEATTLE - BEACON HILL,47.568236,-122.308628,11/7/2018
19,20.4,24,2018,11,10,SEATTLE - BEACON HILL,47.568236,-122.308628,11/10/2018
18,19.4,24,2018,11,16,SEATTLE - BEACON HILL,47.568236,-122.308628,11/16/2018
30,32.7,22,2018,11,19,SEATTLE - BEACON HILL,47.568236,-122.308628,11/19/2018
21,22.5,24,2018,11,22,SEATTLE - BEACON HILL,47.568236,-122.308628,11/22/2018
23,24,22,2018,11,25,SEATTLE - BEACON HILL,47.568236,-122.308628,11/25/2018
33,35,24,2018,11,28,SEATTLE - BEACON HILL,47.568236,-122.308628,11/28/2018
19,20.5,24,2018,12,04,SEATTLE - BEACON HILL,47.568236,-122.308628,12/4/2018
22,23.4,24,2018,12,07,SEATTLE - BEACON HILL,47.568236,-122.308628,12/7/2018
25,26,24,2018,12,13,SEATTLE - BEACON HILL,47.568236,-122.308628,12/13/2018
32,34.3,22,2018,12,19,SEATTLE - BEACON HILL,47.568236,-122.308628,12/19/2018
25,27.3,24,2018,12,22,SEATTLE - BEACON HILL,47.568236,-122.308628,12/22/2018
18,19.7,22,2018,12,25,SEATTLE - BEACON HILL,47.568236,-122.308628,12/25/2018
22,23.9,24,2018,12,28,SEATTLE - BEACON HILL,47.568236,-122.308628,12/28/2018
