NO2 AQI,DMax NO2,NO2-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
8,9,21,2016,5,15,Newark Firehouse,40.720989,-74.192892,5/15/2016
26,28,24,2016,5,18,Newark Firehouse,40.720989,-74.192892,5/18/2016
42,45,24,2016,5,21,Newark Firehouse,40.720989,-74.192892,5/21/2016
40,42,24,2016,5,24,Newark Firehouse,40.720989,-74.192892,5/24/2016
45,48,24,2016,5,27,Newark Firehouse,40.720989,-74.192892,5/27/2016
7,7,24,2016,5,30,Newark Firehouse,40.720989,-74.192892,5/30/2016
25,26,24,2016,6,2,Newark Firehouse,40.720989,-74.192892,6/2/2016
20,21,21,2016,6,5,Newark Firehouse,40.720989,-74.192892,6/5/2016
8,9,24,2016,6,8,Newark Firehouse,40.720989,-74.192892,6/8/2016
34,36,24,2016,6,11,Newark Firehouse,40.720989,-74.192892,6/11/2016
17,18,24,2016,6,14,Newark Firehouse,40.720989,-74.192892,6/14/2016
29,31,24,2016,6,17,Newark Firehouse,40.720989,-74.192892,6/17/2016
42,45,24,2016,6,20,Newark Firehouse,40.720989,-74.192892,6/20/2016
52,55,24,2016,6,23,Newark Firehouse,40.720989,-74.192892,6/23/2016
16,17,21,2016,6,26,Newark Firehouse,40.720989,-74.192892,6/26/2016
15,16,24,2016,6,29,Newark Firehouse,40.720989,-74.192892,6/29/2016
15,16,24,2016,7,2,Newark Firehouse,40.720989,-74.192892,7/2/2016
19,20,24,2016,7,5,Newark Firehouse,40.720989,-74.192892,7/5/2016
28,30,24,2016,7,11,Newark Firehouse,40.720989,-74.192892,7/11/2016
57,60,24,2016,7,14,Newark Firehouse,40.720989,-74.192892,7/14/2016
24,25,21,2016,7,17,Newark Firehouse,40.720989,-74.192892,7/17/2016
25,26,24,2016,7,20,Newark Firehouse,40.720989,-74.192892,7/20/2016
13,14,24,2016,7,23,Newark Firehouse,40.720989,-74.192892,7/23/2016
14,15,24,2016,7,26,Newark Firehouse,40.720989,-74.192892,7/26/2016
21,22,24,2016,7,29,Newark Firehouse,40.720989,-74.192892,7/29/2016
28,30,22,2016,8,1,Newark Firehouse,40.720989,-74.192892,8/1/2016
25,27,24,2016,8,4,Newark Firehouse,40.720989,-74.192892,8/4/2016
25,26,21,2016,8,7,Newark Firehouse,40.720989,-74.192892,8/7/2016
18,19,24,2016,8,10,Newark Firehouse,40.720989,-74.192892,8/10/2016
14,15,24,2016,8,13,Newark Firehouse,40.720989,-74.192892,8/13/2016
19,20,24,2016,8,16,Newark Firehouse,40.720989,-74.192892,8/16/2016
31,33,24,2016,8,19,Newark Firehouse,40.720989,-74.192892,8/19/2016
14,15,24,2016,8,22,Newark Firehouse,40.720989,-74.192892,8/22/2016
18,19,24,2016,8,25,Newark Firehouse,40.720989,-74.192892,8/25/2016
24,25,21,2016,8,28,Newark Firehouse,40.720989,-74.192892,8/28/2016
22,23,24,2016,8,31,Newark Firehouse,40.720989,-74.192892,8/31/2016
17,18,24,2016,9,3,Newark Firehouse,40.720989,-74.192892,9/3/2016
9,10,24,2016,9,6,Newark Firehouse,40.720989,-74.192892,9/6/2016
20,21,24,2016,9,9,Newark Firehouse,40.720989,-74.192892,9/9/2016
17,18,24,2016,9,12,Newark Firehouse,40.720989,-74.192892,9/12/2016
22,23,24,2016,9,15,Newark Firehouse,40.720989,-74.192892,9/15/2016
30,32,21,2016,9,18,Newark Firehouse,40.720989,-74.192892,9/18/2016
29,31,24,2016,9,21,Newark Firehouse,40.720989,-74.192892,9/21/2016
11,12,24,2016,9,30,Newark Firehouse,40.720989,-74.192892,9/30/2016
42,44,24,2016,10,3,Newark Firehouse,40.720989,-74.192892,10/3/2016
44,47,24,2016,10,6,Newark Firehouse,40.720989,-74.192892,10/6/2016
7,7,21,2016,10,9,Newark Firehouse,40.720989,-74.192892,10/9/2016
31,33,24,2016,10,12,Newark Firehouse,40.720989,-74.192892,10/12/2016
29,31,24,2016,10,15,Newark Firehouse,40.720989,-74.192892,10/15/2016
27,29,24,2016,10,18,Newark Firehouse,40.720989,-74.192892,10/18/2016
35,37,18,2016,10,21,Newark Firehouse,40.720989,-74.192892,10/21/2016
28,30,21,2016,10,24,Newark Firehouse,40.720989,-74.192892,10/24/2016
34,36,24,2016,10,27,Newark Firehouse,40.720989,-74.192892,10/27/2016
20,21,21,2016,10,30,Newark Firehouse,40.720989,-74.192892,10/30/2016
32,34,24,2016,11,2,Newark Firehouse,40.720989,-74.192892,11/2/2016
31,33,24,2016,11,5,Newark Firehouse,40.720989,-74.192892,11/5/2016
53,56,24,2016,11,8,Newark Firehouse,40.720989,-74.192892,11/8/2016
24,25,24,2016,11,11,Newark Firehouse,40.720989,-74.192892,11/11/2016
28,30,24,2016,11,17,Newark Firehouse,40.720989,-74.192892,11/17/2016
5,5,21,2016,11,20,Newark Firehouse,40.720989,-74.192892,11/20/2016
27,29,24,2016,11,23,Newark Firehouse,40.720989,-74.192892,11/23/2016
20,21,24,2016,11,26,Newark Firehouse,40.720989,-74.192892,11/26/2016
