Date,Source,Site ID,POC,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2018,AQS,60371103,9,0.9,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/2/2018,AQS,60371103,9,1.2,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/3/2018,AQS,60371103,9,1,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/4/2018,AQS,60371103,9,1.5,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/5/2018,AQS,60371103,9,0.7,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/6/2018,AQS,60371103,9,1.4,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/7/2018,AQS,60371103,9,0.3,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/8/2018,AQS,60371103,9,0.5,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/9/2018,AQS,60371103,9,0.2,ppb,0,Los Angeles-North Main Street,21,88,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/10/2018,AQS,60371103,9,0.4,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/11/2018,AQS,60371103,9,0.6,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/12/2018,AQS,60371103,9,1.5,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/13/2018,AQS,60371103,9,0.6,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/14/2018,AQS,60371103,9,0.6,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/15/2018,AQS,60371103,9,0.8,ppb,0,Los Angeles-North Main Street,21,88,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/16/2018,AQS,60371103,9,1.1,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/17/2018,AQS,60371103,9,0.9,ppb,0,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/18/2018,AQS,60371103,9,1.6,ppb,1,Los Angeles-North Main Street,24,100,42401,Sulfur dioxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
