PM10 AQI,DMean PM10,PM-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
22,24,1,2016,8,10,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
22,24,1,2016,8,10,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
27,29,1,2016,8,22,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
27,29,1,2016,8,22,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
22,24,1,2016,8,28,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
22,24,1,2016,8,28,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
22,24,1,2016,9,3,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
22,24,1,2016,9,3,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
26,28,1,2016,9,9,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
26,28,1,2016,9,9,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
26,28,1,2016,9,15,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
26,28,1,2016,9,15,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
38,41,1,2016,9,27,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
38,41,1,2016,9,27,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
30,32,1,2016,10,3,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
30,32,1,2016,10,3,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
24,26,1,2016,10,9,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
24,26,1,2016,10,9,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
16,17,1,2016,10,15,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
16,17,1,2016,10,15,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
32,35,1,2016,10,21,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
32,35,1,2016,10,21,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
30,32,1,2016,10,27,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
30,32,1,2016,10,27,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
25,27,1,2016,11,2,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
25,27,1,2016,11,2,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
30,32,1,2016,11,8,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
30,32,1,2016,11,8,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
27,29,1,2016,11,14,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
27,29,1,2016,11,14,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
22,24,1,2016,11,20,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
22,24,1,2016,11,20,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
