PM10 AQI,DMean PM10,PM-WEIGHT,Year,Month,Day,Site Name,LAt,Lng,Date
6,7,1,2016,8,27,Millbrook School,35.856111,-78.574167,8/27/2016
6,7,1,2016,8,28,Millbrook School,35.856111,-78.574167,8/28/2016
14,15,1,2016,8,28,Millbrook School,35.856111,-78.574167,8/28/2016
14,15,1,2016,8,28,Millbrook School,35.856111,-78.574167,8/28/2016
8,9,1,2016,9,2,Millbrook School,35.856111,-78.574167,9/2/2016
21,23,1,2016,9,10,Millbrook School,35.856111,-78.574167,9/10/2016
16,17,1,2016,9,11,Millbrook School,35.856111,-78.574167,9/11/2016
17,18,1,2016,9,12,Millbrook School,35.856111,-78.574167,9/12/2016
14,15,1,2016,9,12,Millbrook School,35.856111,-78.574167,9/12/2016
15,16,1,2016,9,13,Millbrook School,35.856111,-78.574167,9/13/2016
18,19,1,2016,9,14,Millbrook School,35.856111,-78.574167,9/14/2016
21,23,1,2016,9,15,Millbrook School,35.856111,-78.574167,9/15/2016
19,20,1,2016,9,15,Millbrook School,35.856111,-78.574167,9/15/2016
19,20,1,2016,9,15,Millbrook School,35.856111,-78.574167,9/15/2016
20,22,1,2016,9,16,Millbrook School,35.856111,-78.574167,9/16/2016
15,16,1,2016,9,17,Millbrook School,35.856111,-78.574167,9/17/2016
9,10,1,2016,9,18,Millbrook School,35.856111,-78.574167,9/18/2016
6,7,1,2016,9,18,Millbrook School,35.856111,-78.574167,9/18/2016
9,10,1,2016,9,20,Millbrook School,35.856111,-78.574167,9/20/2016
8,9,1,2016,9,22,Millbrook School,35.856111,-78.574167,9/22/2016
14,15,1,2016,9,23,Millbrook School,35.856111,-78.574167,9/23/2016
19,20,1,2016,9,24,Millbrook School,35.856111,-78.574167,9/24/2016
16,17,1,2016,9,24,Millbrook School,35.856111,-78.574167,9/24/2016
19,21,1,2016,9,25,Millbrook School,35.856111,-78.574167,9/25/2016
16,17,1,2016,9,26,Millbrook School,35.856111,-78.574167,9/26/2016
14,15,1,2016,9,27,Millbrook School,35.856111,-78.574167,9/27/2016
12,13,1,2016,9,27,Millbrook School,35.856111,-78.574167,9/27/2016
11,12,1,2016,9,27,Millbrook School,35.856111,-78.574167,9/27/2016
17,18,1,2016,9,28,Millbrook School,35.856111,-78.574167,9/28/2016
14,15,1,2016,9,30,Millbrook School,35.856111,-78.574167,9/30/2016
10,11,1,2016,9,30,Millbrook School,35.856111,-78.574167,9/30/2016
20,22,1,2016,10,1,Millbrook School,35.856111,-78.574167,10/1/2016
23,25,1,2016,10,2,Millbrook School,35.856111,-78.574167,10/2/2016
17,18,1,2016,10,3,Millbrook School,35.856111,-78.574167,10/3/2016
14,15,1,2016,10,3,Millbrook School,35.856111,-78.574167,10/3/2016
14,15,1,2016,10,3,Millbrook School,35.856111,-78.574167,10/3/2016
17,18,1,2016,10,4,Millbrook School,35.856111,-78.574167,10/4/2016
18,19,1,2016,10,5,Millbrook School,35.856111,-78.574167,10/5/2016
13,14,1,2016,10,6,Millbrook School,35.856111,-78.574167,10/6/2016
10,11,1,2016,10,6,Millbrook School,35.856111,-78.574167,10/6/2016
9,10,1,2016,10,7,Millbrook School,35.856111,-78.574167,10/7/2016
6,6,1,2016,10,8,Millbrook School,35.856111,-78.574167,10/8/2016
