Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
6/17/2016,AQS,560210001,1,23,ug/m3 SC,21,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
6/23/2016,AQS,560210001,1,15,ug/m3 SC,14,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
6/29/2016,AQS,560210001,1,16,ug/m3 SC,15,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
7/5/2016,AQS,560210001,1,13,ug/m3 SC,12,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
7/11/2016,AQS,560210001,1,14,ug/m3 SC,13,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
7/17/2016,AQS,560210001,1,16,ug/m3 SC,15,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
7/23/2016,AQS,560210001,1,13,ug/m3 SC,12,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
7/29/2016,AQS,560210001,1,17,ug/m3 SC,16,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
8/4/2016,AQS,560210001,1,19,ug/m3 SC,18,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
8/10/2016,AQS,560210001,1,11,ug/m3 SC,10,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
8/16/2016,AQS,560210001,1,15,ug/m3 SC,14,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
8/22/2016,AQS,560210001,1,14,ug/m3 SC,13,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
8/28/2016,AQS,560210001,1,14,ug/m3 SC,13,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
9/3/2016,AQS,560210001,1,9,ug/m3 SC,8,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
9/9/2016,AQS,560210001,1,9,ug/m3 SC,8,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
9/15/2016,AQS,560210001,1,5,ug/m3 SC,5,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
9/21/2016,AQS,560210001,1,12,ug/m3 SC,11,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
9/27/2016,AQS,560210001,1,7,ug/m3 SC,6,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
10/3/2016,AQS,560210001,1,24,ug/m3 SC,22,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
10/9/2016,AQS,560210001,1,10,ug/m3 SC,9,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
