Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
9/6/2020,AQS,340410007,1,8.8,ug/m3 LC,37,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
9/12/2020,AQS,340410007,1,4.5,ug/m3 LC,19,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
9/18/2020,AQS,340410007,1,6.1,ug/m3 LC,25,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
9/24/2020,AQS,340410007,1,11.5,ug/m3 LC,48,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
9/30/2020,AQS,340410007,1,3.2,ug/m3 LC,13,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
10/12/2020,AQS,340410007,1,5,ug/m3 LC,21,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
10/18/2020,AQS,340410007,1,5.5,ug/m3 LC,23,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
10/24/2020,AQS,340410007,1,3.7,ug/m3 LC,15,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
11/17/2020,AQS,340410007,1,6.7,ug/m3 LC,28,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
11/23/2020,AQS,340410007,1,6.5,ug/m3 LC,27,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
11/29/2020,AQS,340410007,1,9.9,ug/m3 LC,41,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
12/5/2020,AQS,340410007,1,4.8,ug/m3 LC,20,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
12/11/2020,AQS,340410007,1,21.5,ug/m3 LC,71,Columbia,1,100,88101,PM2.5 - Local Conditions,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,41,Warren,40.92458,-75.067815
