D-AQI,DMean PM10,PM10 AQI,PM-WEIGHT,DMax NO2,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 AQI,SO2-WEIGHT,DMax CO,CO AQI,CO-WEIGHT,Year,Month,Day,Site Name,LAt,Lng,Date
,14,13,1,33.4,31,23,0.034,31,17,1.5,1,20,0.3,3,24,2018,05,02,SEATTLE - BEACON HILL,47.568236,-122.308628,5/2/2018
,10,9,1,23.6,22,22,0.029,27,17,1.8,1,22,0.3,3,24,2018,05,05,SEATTLE - BEACON HILL,47.568236,-122.308628,5/5/2018
,11,10,1,24.4,23,23,0.033,31,17,1.2,1,19,0.2,2,24,2018,05,08,SEATTLE - BEACON HILL,47.568236,-122.308628,5/8/2018
,10,9,1,31.2,29,22,0.031,29,17,0.7,0,22,0.2,2,24,2018,05,11,SEATTLE - BEACON HILL,47.568236,-122.308628,5/11/2018
,21,19,1,37.8,35,23,0.044,41,17,2.6,3,20,0.4,5,13,2018,05,14,SEATTLE - BEACON HILL,47.568236,-122.308628,5/14/2018
,7,6,1,11.8,10,24,0.032,30,17,0.5,0,24,0.2,2,24,2018,05,17,SEATTLE - BEACON HILL,47.568236,-122.308628,5/17/2018
,14,13,1,32.6,30,24,0.038,35,17,1.3,1,22,0.2,2,24,2018,05,23,SEATTLE - BEACON HILL,47.568236,-122.308628,5/23/2018
,10,9,1,23.8,22,23,0.037,34,17,0.4,0,22,0.2,2,24,2018,05,26,SEATTLE - BEACON HILL,47.568236,-122.308628,5/26/2018
,15,14,1,13.5,12,22,0.03,28,17,0.6,0,24,0.2,2,24,2018,05,29,SEATTLE - BEACON HILL,47.568236,-122.308628,5/29/2018
,5,5,1,16,15,23,0.037,34,17,0.7,0,20,0.2,2,24,2018,06,01,SEATTLE - BEACON HILL,47.568236,-122.308628,6/1/2018
,6,6,1,13.1,12,22,0.034,31,17,0.3,0,22,0.2,2,24,2018,06,04,SEATTLE - BEACON HILL,47.568236,-122.308628,6/4/2018
,9,8,1,7.6,7,23,0.044,41,17,0.8,0,22,0.2,2,24,2018,06,07,SEATTLE - BEACON HILL,47.568236,-122.308628,6/7/2018
,3,3,1,8.9,8,24,0.03,28,17,0.4,0,24,0.2,2,24,2018,06,10,SEATTLE - BEACON HILL,47.568236,-122.308628,6/10/2018
,4,4,1,16.4,15,24,0.026,24,17,0.5,0,22,0.2,2,24,2018,06,13,SEATTLE - BEACON HILL,47.568236,-122.308628,6/13/2018
,10,9,1,13,12,24,0.037,34,17,0.6,0,24,0.2,2,24,2018,06,16,SEATTLE - BEACON HILL,47.568236,-122.308628,6/16/2018
,17,16,1,36.3,34,24,0.028,26,17,1.4,1,20,0.2,2,24,2018,06,19,SEATTLE - BEACON HILL,47.568236,-122.308628,6/19/2018
,7,6,1,15,14,24,0.02,19,17,0.6,0,24,0.1,1,24,2018,06,22,SEATTLE - BEACON HILL,47.568236,-122.308628,6/22/2018
,6,6,1,21.8,20,20,0.03,28,17,1.3,1,19,0.1,1,24,2018,06,25,SEATTLE - BEACON HILL,47.568236,-122.308628,6/25/2018
,12,11,1,12.1,11,22,0.024,22,17,0.7,0,24,0.2,2,24,2018,06,28,SEATTLE - BEACON HILL,47.568236,-122.308628,6/28/2018
,5,5,1,16.7,15,23,0.026,24,17,0.5,0,19,0.1,1,24,2018,07,07,SEATTLE - BEACON HILL,47.568236,-122.308628,7/7/2018
,6,6,1,9.1,8,22,0.029,27,17,0.6,0,24,0.1,1,24,2018,07,10,SEATTLE - BEACON HILL,47.568236,-122.308628,7/10/2018
,15,14,1,25.9,24,22,0.032,30,17,5.9,7,20,0.2,2,14,2018,07,13,SEATTLE - BEACON HILL,47.568236,-122.308628,7/13/2018
,18,17,1,44.6,42,23,0.036,33,17,1.6,1,21,0.2,2,24,2018,07,16,SEATTLE - BEACON HILL,47.568236,-122.308628,7/16/2018
,10,9,1,21,20,24,0.022,20,17,0.5,0,22,0.1,1,24,2018,07,19,SEATTLE - BEACON HILL,47.568236,-122.308628,7/19/2018
,11,10,1,21.3,20,24,0.036,33,17,0.9,0,22,0.2,2,24,2018,07,22,SEATTLE - BEACON HILL,47.568236,-122.308628,7/22/2018
,20,19,1,37,35,24,0.039,36,17,2.8,3,23,0.3,3,24,2018,07,25,SEATTLE - BEACON HILL,47.568236,-122.308628,7/25/2018
,12,11,1,37.5,35,22,0.024,22,17,2.8,3,22,0.2,2,24,2018,07,28,SEATTLE - BEACON HILL,47.568236,-122.308628,7/28/2018
,10,9,1,4.9,4,23,0.03,28,17,0.8,0,22,0.2,2,24,2018,07,31,SEATTLE - BEACON HILL,47.568236,-122.308628,7/31/2018
,5,5,1,12,11,22,0.021,19,17,0.7,0,21,0.1,1,24,2018,08,03,SEATTLE - BEACON HILL,47.568236,-122.308628,8/3/2018
,12,11,1,21.6,20,23,0.023,21,17,3,4,22,0.3,3,24,2018,08,06,SEATTLE - BEACON HILL,47.568236,-122.308628,8/6/2018
,20,19,1,33.2,31,22,0.042,39,17,3.5,4,22,0.2,2,24,2018,08,09,SEATTLE - BEACON HILL,47.568236,-122.308628,8/9/2018
,60,53,1,47.4,44,24,0.033,31,17,3.2,4,22,0.7,8,24,2018,08,15,SEATTLE - BEACON HILL,47.568236,-122.308628,8/15/2018
,6,6,1,14.9,13,24,0.023,21,17,1,1,24,0.1,1,24,2018,08,30,SEATTLE - BEACON HILL,47.568236,-122.308628,8/30/2018
,22,20,1,41.9,39,24,0.027,25,17,1.6,1,22,0.3,3,24,2018,09,05,SEATTLE - BEACON HILL,47.568236,-122.308628,9/5/2018
,10,9,1,26.8,25,24,0.022,20,17,1,1,22,0.3,3,24,2018,10,14,SEATTLE - BEACON HILL,47.568236,-122.308628,10/14/2018
,22,20,1,57.2,54,24,0.008,7,17,3.4,4,24,0.6,7,24,2018,10,17,SEATTLE - BEACON HILL,47.568236,-122.308628,10/17/2018
,20,19,1,14.4,13,24,0.021,19,17,0.6,0,24,0.3,3,24,2018,10,20,SEATTLE - BEACON HILL,47.568236,-122.308628,10/20/2018
,20,19,1,26.6,25,24,0.011,10,17,2.7,3,22,0.8,9,24,2018,10,23,SEATTLE - BEACON HILL,47.568236,-122.308628,10/23/2018
,8,7,1,15.4,14,24,0.03,28,17,0.6,0,22,0.4,5,24,2018,10,26,SEATTLE - BEACON HILL,47.568236,-122.308628,10/26/2018
,6,6,1,25,24,24,0.021,19,17,0.8,0,18,0.2,2,24,2018,10,29,SEATTLE - BEACON HILL,47.568236,-122.308628,10/29/2018
