Day-Result,D-AQI,PM10 AQI,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI,PM-WEIGHT,DMax NO2,NO2-WEIGHT,DMax Ozone,OZONE-WEIGHT,DMax SO2,SO2-WEIGHT,DMax CO,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
Good,44,6,12,44,0,1,1,13.6,24,0.047,17,-0.2,24,0.1,24,2016,1,2,Cheyenne NCore,41.18222711,-104.7783342,1/2/2016
Good,38,8,34,38,0,2,1,36,22,0.041,17,0.5,21,0.2,24,2016,1,3,Cheyenne NCore,41.18222711,-104.7783342,1/3/2016
Good,37,13,37,32,1,2,1,39.5,24,0.035,17,1.2,24,0.2,24,2016,1,4,Cheyenne NCore,41.18222711,-104.7783342,1/4/2016
Good,37,7,10,37,0,2,1,11.3,23,0.04,17,0.1,22,0.2,24,2016,1,5,Cheyenne NCore,41.18222711,-104.7783342,1/5/2016
Good,36,7,24,36,0,2,1,25.4,24,0.039,17,0.3,24,0.2,24,2016,1,6,Cheyenne NCore,41.18222711,-104.7783342,1/6/2016
Good,37,5,12,37,0,2,1,13.5,23,0.04,17,0.2,22,0.2,24,2016,1,7,Cheyenne NCore,41.18222711,-104.7783342,1/7/2016
Good,25,8,13,25,3,2,1,14.1,24,0.027,17,2.3,24,0.2,24,2016,1,8,Cheyenne NCore,41.18222711,-104.7783342,1/8/2016
Good,33,10,26,33,0,2,1,28.7,23,0.036,17,0.4,22,0.2,24,2016,1,9,Cheyenne NCore,41.18222711,-104.7783342,1/9/2016
Good,40,6,8,40,0,2,1,8.5,23,0.043,17,0,23,0.2,24,2016,1,10,Cheyenne NCore,41.18222711,-104.7783342,1/10/2016
Good,42,6,10,42,0,1,1,11.9,23,0.045,17,0.3,22,0.1,21,2016,1,11,Cheyenne NCore,41.18222711,-104.7783342,1/11/2016
Good,43,6,8,43,0,1,1,8.3,24,0.046,17,0,23,0.1,24,2016,1,12,Cheyenne NCore,41.18222711,-104.7783342,1/12/2016
Good,43,5,8,43,0,1,1,8.4,23,0.046,17,-0.1,22,0.1,24,2016,1,13,Cheyenne NCore,41.18222711,-104.7783342,1/13/2016
Good,41,4,3,41,0,1,1,3.1,24,0.044,17,0,24,0.1,24,2016,1,14,Cheyenne NCore,41.18222711,-104.7783342,1/14/2016
Good,40,2,4,40,0,1,1,4.5,23,0.043,17,0.1,22,0.1,24,2016,1,15,Cheyenne NCore,41.18222711,-104.7783342,1/15/2016
Good,41,3,3,41,0,1,1,3.3,24,0.044,17,0,24,0.1,24,2016,1,16,Cheyenne NCore,41.18222711,-104.7783342,1/16/2016
Good,42,5,13,42,0,1,1,14.3,22,0.045,17,0,21,0.1,24,2016,1,17,Cheyenne NCore,41.18222711,-104.7783342,1/17/2016
Good,40,4,3,40,0,1,1,3.9,24,0.043,17,-0.1,24,0.1,24,2016,1,18,Cheyenne NCore,41.18222711,-104.7783342,1/18/2016
Good,38,5,24,38,0,1,1,25.5,23,0.041,17,0.2,22,0.1,24,2016,1,19,Cheyenne NCore,41.18222711,-104.7783342,1/19/2016
Good,41,3,8,41,0,1,1,8.7,23,0.044,17,0,23,0.1,24,2016,1,20,Cheyenne NCore,41.18222711,-104.7783342,1/20/2016
Good,40,4,5,40,0,1,1,5.5,22,0.043,17,0,21,0.1,24,2016,1,21,Cheyenne NCore,41.18222711,-104.7783342,1/21/2016
Good,37,8,31,37,7,2,1,33.6,24,0.04,17,5,24,0.2,24,2016,1,22,Cheyenne NCore,41.18222711,-104.7783342,1/22/2016
Good,41,5,31,41,0,2,1,33.9,23,0.044,17,0.1,22,0.2,24,2016,1,23,Cheyenne NCore,41.18222711,-104.7783342,1/23/2016
Good,41,4,8,41,0,1,1,9.1,23,0.044,17,0.1,23,0.1,24,2016,1,24,Cheyenne NCore,41.18222711,-104.7783342,1/24/2016
Good,33,2,1,33,0,1,1,1.9,23,0.036,17,0,22,0.1,21,2016,1,25,Cheyenne NCore,41.18222711,-104.7783342,1/25/2016
Good,40,5,8,40,0,1,1,9,24,0.043,17,-0.1,23,0.1,24,2016,1,26,Cheyenne NCore,41.18222711,-104.7783342,1/26/2016
Good,40,4,3,40,0,1,1,3.4,23,0.043,17,-0.1,22,0.1,24,2016,1,27,Cheyenne NCore,41.18222711,-104.7783342,1/27/2016
Good,39,3,4,39,0,1,1,4,24,0.042,17,-0.1,24,0.1,24,2016,1,28,Cheyenne NCore,41.18222711,-104.7783342,1/28/2016
Good,41,6,10,41,0,1,1,11.6,23,0.044,17,0.3,22,0.1,24,2016,1,29,Cheyenne NCore,41.18222711,-104.7783342,1/29/2016
Good,38,3,4,38,0,1,1,4.3,24,0.041,17,0.3,24,0.1,24,2016,1,30,Cheyenne NCore,41.18222711,-104.7783342,1/30/2016
Good,41,4,2,41,0,1,1,2.8,22,0.044,17,0,21,0.1,24,2016,1,31,Cheyenne NCore,41.18222711,-104.7783342,1/31/2016
Good,37,6,2,37,0,1,1,2.7,24,0.04,17,0.1,24,0.1,24,2016,2,1,Cheyenne NCore,41.18222711,-104.7783342,2/1/2016
Good,38,2,1,38,0,1,1,1.7,23,0.041,17,0.1,22,0.1,24,2016,2,2,Cheyenne NCore,41.18222711,-104.7783342,2/2/2016
Good,42,5,4,42,0,1,1,4.9,24,0.045,17,0.1,24,0.1,24,2016,2,3,Cheyenne NCore,41.18222711,-104.7783342,2/3/2016
Good,44,7,2,44,0,1,1,2.4,23,0.048,17,-0.1,22,0.1,24,2016,2,4,Cheyenne NCore,41.18222711,-104.7783342,2/4/2016
Good,43,4,2,43,0,1,1,2.5,24,0.046,17,-0.1,24,0.1,24,2016,2,5,Cheyenne NCore,41.18222711,-104.7783342,2/5/2016
Good,44,7,1,44,0,1,1,1.9,23,0.048,17,-0.1,22,0.1,24,2016,2,6,Cheyenne NCore,41.18222711,-104.7783342,2/6/2016
Good,41,5,2,41,0,1,1,2.7,23,0.044,17,0.1,23,0.1,24,2016,2,7,Cheyenne NCore,41.18222711,-104.7783342,2/7/2016
Good,40,4,1,40,0,1,1,1.7,23,0.043,17,0.2,22,0.1,21,2016,2,8,Cheyenne NCore,41.18222711,-104.7783342,2/8/2016
Good,43,4,3,43,0,1,1,3.2,24,0.046,17,-0.1,23,0.1,24,2016,2,9,Cheyenne NCore,41.18222711,-104.7783342,2/9/2016
Good,44,4,2,44,0,1,1,2.4,23,0.048,17,-0.2,22,0.1,24,2016,2,10,Cheyenne NCore,41.18222711,-104.7783342,2/10/2016
Good,39,4,4,39,0,1,1,4.4,24,0.042,17,-0.2,24,0.1,24,2016,2,11,Cheyenne NCore,41.18222711,-104.7783342,2/11/2016
Good,39,10,21,39,0,1,1,22.8,23,0.042,17,0.8,22,0.1,24,2016,2,12,Cheyenne NCore,41.18222711,-104.7783342,2/12/2016
Good,41,6,16,41,0,1,1,17.8,24,0.044,17,0.2,24,0.1,24,2016,2,13,Cheyenne NCore,41.18222711,-104.7783342,2/13/2016
Good,39,5,2,39,0,1,1,2.9,22,0.042,17,0,21,0.1,24,2016,2,14,Cheyenne NCore,41.18222711,-104.7783342,2/14/2016
Good,35,5,3,35,0,1,1,3.6,24,0.038,17,0,24,0.1,24,2016,2,15,Cheyenne NCore,41.18222711,-104.7783342,2/15/2016
Good,34,4,9,34,0,1,1,10.1,23,0.037,17,0.3,22,0.1,24,2016,2,16,Cheyenne NCore,41.18222711,-104.7783342,2/16/2016
Good,32,13,28,32,0,2,1,30.2,24,0.035,17,0.5,24,0.2,24,2016,2,17,Cheyenne NCore,41.18222711,-104.7783342,2/17/2016
Good,43,6,11,43,0,2,1,12.4,23,0.046,17,0.3,22,0.2,24,2016,2,18,Cheyenne NCore,41.18222711,-104.7783342,2/18/2016
Good,42,6,16,42,1,1,1,17.9,23,0.045,17,1.2,23,0.1,24,2016,2,21,Cheyenne NCore,41.18222711,-104.7783342,2/21/2016
Good,42,6,18,42,0,1,1,19.2,22,0.045,17,0.1,21,0.1,21,2016,2,22,Cheyenne NCore,41.18222711,-104.7783342,2/22/2016
Good,42,6,2,42,0,1,1,2.6,24,0.045,17,0,23,0.1,24,2016,2,23,Cheyenne NCore,41.18222711,-104.7783342,2/23/2016
Good,44,7,2,44,0,1,1,2.5,23,0.047,17,0.1,22,0.1,24,2016,2,24,Cheyenne NCore,41.18222711,-104.7783342,2/24/2016
Good,37,15,26,37,0,2,1,28.5,24,0.04,17,0.6,24,0.2,24,2016,2,25,Cheyenne NCore,41.18222711,-104.7783342,2/25/2016
Good,46,9,16,46,0,1,1,17.4,23,0.05,17,0.3,22,0.1,24,2016,2,26,Cheyenne NCore,41.18222711,-104.7783342,2/26/2016
Good,46,7,4,46,0,1,1,4.9,24,0.05,17,-0.1,24,0.1,24,2016,2,27,Cheyenne NCore,41.18222711,-104.7783342,2/27/2016
Good,44,5,8,44,0,1,1,8.6,22,0.047,17,-0.1,21,0.1,24,2016,2,28,Cheyenne NCore,41.18222711,-104.7783342,2/28/2016
Good,43,7,4,43,0,1,1,4.3,24,0.046,17,-0.1,24,0.1,24,2016,2,29,Cheyenne NCore,41.18222711,-104.7783342,2/29/2016
Good,43,6,3,43,0,1,1,3,23,0.046,17,0,22,0.1,24,2016,3,1,Cheyenne NCore,41.18222711,-104.7783342,3/1/2016
Good,44,8,1,44,0,1,1,1.3,24,0.047,17,-0.1,24,0.1,24,2016,3,2,Cheyenne NCore,41.18222711,-104.7783342,3/2/2016
Good,48,10,10,48,0,2,1,11.6,23,0.052,17,0.1,22,0.2,24,2016,3,3,Cheyenne NCore,41.18222711,-104.7783342,3/3/2016
Good,41,7,16,41,0,1,1,17.2,24,0.044,17,0,24,0.1,24,2016,3,4,Cheyenne NCore,41.18222711,-104.7783342,3/4/2016
Good,41,19,33,41,1,1,1,35.7,23,0.044,17,1.3,22,0.1,24,2016,3,5,Cheyenne NCore,41.18222711,-104.7783342,3/5/2016
Good,45,8,3,45,0,1,1,3.6,23,0.049,17,0.2,23,0.1,24,2016,3,6,Cheyenne NCore,41.18222711,-104.7783342,3/6/2016
Good,43,10,10,43,4,1,1,11.1,24,0.046,17,3.8,24,0.1,24,2016,3,12,Cheyenne NCore,41.18222711,-104.7783342,3/12/2016
Good,43,6,3,43,0,1,1,3.4,22,0.046,17,0,21,0.1,24,2016,3,13,Cheyenne NCore,41.18222711,-104.7783342,3/13/2016
Good,45,9,17,45,0,1,1,18,24,0.049,17,0.2,24,0.1,24,2016,3,14,Cheyenne NCore,41.18222711,-104.7783342,3/14/2016
Good,41,5,1,41,0,1,1,1.4,23,0.044,17,0,22,0.1,24,2016,3,15,Cheyenne NCore,41.18222711,-104.7783342,3/15/2016
Good,44,6,2,44,0,1,1,2.8,24,0.047,17,0,24,0.1,24,2016,3,16,Cheyenne NCore,41.18222711,-104.7783342,3/16/2016
Good,44,6,3,44,0,1,1,3.5,23,0.047,17,0.1,22,0.1,24,2016,3,17,Cheyenne NCore,41.18222711,-104.7783342,3/17/2016
Good,39,6,2,39,0,1,1,2.6,24,0.042,17,0.9,24,0.1,24,2016,3,18,Cheyenne NCore,41.18222711,-104.7783342,3/18/2016
Good,40,4,4,40,0,1,1,4.2,23,0.043,17,-0.1,22,0.1,24,2016,3,19,Cheyenne NCore,41.18222711,-104.7783342,3/19/2016
Good,44,6,23,44,0,1,1,24.5,23,0.048,17,0.7,23,0.1,24,2016,3,20,Cheyenne NCore,41.18222711,-104.7783342,3/20/2016
Good,49,6,18,49,0,1,1,19.3,23,0.053,17,0.7,22,0.1,21,2016,3,21,Cheyenne NCore,41.18222711,-104.7783342,3/21/2016
Good,47,12,25,47,1,1,1,26.5,24,0.051,17,1,23,0.1,24,2016,3,22,Cheyenne NCore,41.18222711,-104.7783342,3/22/2016
Good,39,13,2,39,0,1,1,2,23,0.042,17,0.1,22,0.1,24,2016,3,23,Cheyenne NCore,41.18222711,-104.7783342,3/23/2016
Good,45,7,8,45,0,1,1,8.9,24,0.049,17,0,24,0.1,24,2016,3,24,Cheyenne NCore,41.18222711,-104.7783342,3/24/2016
Good,45,3,9,45,0,1,1,10.9,23,0.049,17,0.1,22,0.1,24,2016,3,25,Cheyenne NCore,41.18222711,-104.7783342,3/25/2016
Good,38,6,25,38,0,1,1,27.6,24,0.041,17,0.3,24,0.1,24,2016,3,26,Cheyenne NCore,41.18222711,-104.7783342,3/26/2016
Good,46,4,22,46,0,1,1,23.5,22,0.05,17,0,21,0.1,24,2016,3,27,Cheyenne NCore,41.18222711,-104.7783342,3/27/2016
Good,48,10,21,48,0,1,1,22.6,23,0.052,17,0.5,23,0.1,24,2016,3,28,Cheyenne NCore,41.18222711,-104.7783342,3/28/2016
Good,44,4,1,44,0,1,1,1.6,24,0.048,17,0.1,24,0.1,24,2016,3,30,Cheyenne NCore,41.18222711,-104.7783342,3/30/2016
Good,44,4,1,44,0,1,1,1.3,23,0.047,17,0,22,0.1,23,2016,3,31,Cheyenne NCore,41.18222711,-104.7783342,3/31/2016
Good,44,6,1,44,0,1,1,1.9,24,0.048,17,0,24,0.1,24,2016,4,1,Cheyenne NCore,41.18222711,-104.7783342,4/1/2016
Good,44,5,5,44,0,1,1,5.2,23,0.047,17,0,22,0.1,19,2016,4,2,Cheyenne NCore,41.18222711,-104.7783342,4/2/2016
Good,44,4,24,44,0,1,1,25,23,0.047,17,0,23,0.1,24,2016,4,3,Cheyenne NCore,41.18222711,-104.7783342,4/3/2016
Good,47,9,3,47,0,1,1,3.4,24,0.051,17,-0.1,23,0.1,24,2016,4,5,Cheyenne NCore,41.18222711,-104.7783342,4/5/2016
Good,42,7,1,42,0,1,1,1.6,23,0.045,17,0,22,0.1,19,2016,4,6,Cheyenne NCore,41.18222711,-104.7783342,4/6/2016
Good,39,6,10,39,0,1,1,11.4,24,0.042,17,0,24,0.1,24,2016,4,7,Cheyenne NCore,41.18222711,-104.7783342,4/7/2016
Good,44,13,6,44,0,1,1,6.9,23,0.048,17,0,22,0.1,19,2016,4,8,Cheyenne NCore,41.18222711,-104.7783342,4/8/2016
Good,46,10,20,46,0,1,1,21.2,24,0.05,17,0.4,24,0.1,24,2016,4,9,Cheyenne NCore,41.18222711,-104.7783342,4/9/2016
Good,35,5,3,35,0,0,1,3.3,22,0.038,17,0,21,0,19,2016,4,10,Cheyenne NCore,41.18222711,-104.7783342,4/10/2016
Good,34,9,15,34,0,1,1,16.7,24,0.037,17,0,24,0.1,23,2016,4,11,Cheyenne NCore,41.18222711,-104.7783342,4/11/2016
Good,43,5,13,43,0,1,1,14.2,23,0.046,17,0.2,22,0.1,19,2016,4,12,Cheyenne NCore,41.18222711,-104.7783342,4/12/2016
Good,49,6,12,49,0,1,1,13.8,24,0.053,17,0,24,0.1,24,2016,4,13,Cheyenne NCore,41.18222711,-104.7783342,4/13/2016
Good,49,7,11,49,0,1,1,12.5,23,0.053,17,0.2,22,0.1,19,2016,4,14,Cheyenne NCore,41.18222711,-104.7783342,4/14/2016
Good,48,5,2,48,0,1,1,2.1,24,0.052,17,0.1,24,0.1,24,2016,4,15,Cheyenne NCore,41.18222711,-104.7783342,4/15/2016
Good,39,5,1,39,0,1,1,1.3,23,0.042,17,0.1,22,0.1,19,2016,4,16,Cheyenne NCore,41.18222711,-104.7783342,4/16/2016
Good,46,5,2,46,0,1,1,2,23,0.05,17,0,23,0.1,24,2016,4,17,Cheyenne NCore,41.18222711,-104.7783342,4/17/2016
Good,44,7,14,44,0,1,1,15.6,24,0.048,17,0.2,24,0.1,24,2016,4,19,Cheyenne NCore,41.18222711,-104.7783342,4/19/2016
Good,43,2,9,43,0,1,1,10,23,0.046,17,0,22,0.1,19,2016,4,20,Cheyenne NCore,41.18222711,-104.7783342,4/20/2016
Moderate Pollution,80,12,23,80,0,1,1,24.8,23,0.064,17,0.7,22,0.1,19,2016,4,22,Cheyenne NCore,41.18222711,-104.7783342,4/22/2016
Moderate Pollution,58,11,14,58,1,1,1,15.3,24,0.057,17,1.2,24,0.1,24,2016,4,23,Cheyenne NCore,41.18222711,-104.7783342,4/23/2016
Good,38,3,2,38,0,1,1,2.6,22,0.041,17,0.1,21,0.1,19,2016,4,24,Cheyenne NCore,41.18222711,-104.7783342,4/24/2016
Good,44,6,11,44,0,1,1,12.7,24,0.048,17,0.4,24,0.1,23,2016,4,25,Cheyenne NCore,41.18222711,-104.7783342,4/25/2016
Good,34,1,1,34,0,1,1,1.7,23,0.037,17,0.2,22,0.1,19,2016,4,26,Cheyenne NCore,41.18222711,-104.7783342,4/26/2016
Good,34,2,1,34,0,1,1,1.7,24,0.037,17,0.1,24,0.1,24,2016,4,27,Cheyenne NCore,41.18222711,-104.7783342,4/27/2016
Good,30,4,4,30,0,1,1,4.3,23,0.032,17,0.1,22,0.1,19,2016,4,28,Cheyenne NCore,41.18222711,-104.7783342,4/28/2016
Good,31,4,1,31,0,1,1,1.8,24,0.034,17,0,24,0.1,24,2016,4,29,Cheyenne NCore,41.18222711,-104.7783342,4/29/2016
