D-AQI,PM10 AQI,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI,PM-WEIGHT,DMax NO2,NO2-WEIGHT,DMax Ozone,OZONE-WEIGHT,DMax SO2,SO2-WEIGHT,DMax CO,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
4,4,4,39,0,1,1,4.4,24,0.042,17,-0.2,24,0.1,24,2016,2,11,Cheyenne NCore,41.18222711,-104.7783342,2/11/2016
21,10,21,39,0,1,1,22.8,23,0.042,17,0.8,22,0.1,24,2016,2,12,Cheyenne NCore,41.18222711,-104.7783342,2/12/2016
16,6,16,41,0,1,1,17.8,24,0.044,17,0.2,24,0.1,24,2016,2,13,Cheyenne NCore,41.18222711,-104.7783342,2/13/2016
2,5,2,39,0,1,1,2.9,22,0.042,17,0,21,0.1,24,2016,2,14,Cheyenne NCore,41.18222711,-104.7783342,2/14/2016
3,5,3,35,0,1,1,3.6,24,0.038,17,0,24,0.1,24,2016,2,15,Cheyenne NCore,41.18222711,-104.7783342,2/15/2016
9,4,9,34,0,1,1,10.1,23,0.037,17,0.3,22,0.1,24,2016,2,16,Cheyenne NCore,41.18222711,-104.7783342,2/16/2016
28,13,28,32,0,2,1,30.2,24,0.035,17,0.5,24,0.2,24,2016,2,17,Cheyenne NCore,41.18222711,-104.7783342,2/17/2016
11,6,11,43,0,2,1,12.4,23,0.046,17,0.3,22,0.2,24,2016,2,18,Cheyenne NCore,41.18222711,-104.7783342,2/18/2016
16,6,16,42,1,1,1,17.9,23,0.045,17,1.2,23,0.1,24,2016,2,21,Cheyenne NCore,41.18222711,-104.7783342,2/21/2016
18,6,18,42,0,1,1,19.2,22,0.045,17,0.1,21,0.1,21,2016,2,22,Cheyenne NCore,41.18222711,-104.7783342,2/22/2016
2,6,2,42,0,1,1,2.6,24,0.045,17,0,23,0.1,24,2016,2,23,Cheyenne NCore,41.18222711,-104.7783342,2/23/2016
2,7,2,44,0,1,1,2.5,23,0.047,17,0.1,22,0.1,24,2016,2,24,Cheyenne NCore,41.18222711,-104.7783342,2/24/2016
26,15,26,37,0,2,1,28.5,24,0.04,17,0.6,24,0.2,24,2016,2,25,Cheyenne NCore,41.18222711,-104.7783342,2/25/2016
16,9,16,46,0,1,1,17.4,23,0.05,17,0.3,22,0.1,24,2016,2,26,Cheyenne NCore,41.18222711,-104.7783342,2/26/2016
4,7,4,46,0,1,1,4.9,24,0.05,17,-0.1,24,0.1,24,2016,2,27,Cheyenne NCore,41.18222711,-104.7783342,2/27/2016
8,5,8,44,0,1,1,8.6,22,0.047,17,-0.1,21,0.1,24,2016,2,28,Cheyenne NCore,41.18222711,-104.7783342,2/28/2016
4,7,4,43,0,1,1,4.3,24,0.046,17,-0.1,24,0.1,24,2016,2,29,Cheyenne NCore,41.18222711,-104.7783342,2/29/2016
3,6,3,43,0,1,1,3,23,0.046,17,0,22,0.1,24,2016,3,1,Cheyenne NCore,41.18222711,-104.7783342,3/1/2016
1,8,1,44,0,1,1,1.3,24,0.047,17,-0.1,24,0.1,24,2016,3,2,Cheyenne NCore,41.18222711,-104.7783342,3/2/2016
10,10,10,48,0,2,1,11.6,23,0.052,17,0.1,22,0.2,24,2016,3,3,Cheyenne NCore,41.18222711,-104.7783342,3/3/2016
16,7,16,41,0,1,1,17.2,24,0.044,17,0,24,0.1,24,2016,3,4,Cheyenne NCore,41.18222711,-104.7783342,3/4/2016
