Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/2/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/3/2016,AQS,560210100,1,0.2,ppm,2,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/4/2016,AQS,560210100,1,0.2,ppm,2,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/5/2016,AQS,560210100,1,0.2,ppm,2,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/6/2016,AQS,560210100,1,0.2,ppm,2,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/7/2016,AQS,560210100,1,0.2,ppm,2,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/8/2016,AQS,560210100,1,0.2,ppm,2,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/9/2016,AQS,560210100,1,0.2,ppm,2,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/10/2016,AQS,560210100,1,0.2,ppm,2,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/11/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,21,88,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/12/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/13/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/14/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/15/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/16/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/17/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/18/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/19/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/20/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/21/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/22/2016,AQS,560210100,1,0.2,ppm,2,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/23/2016,AQS,560210100,1,0.2,ppm,2,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/24/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/25/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,21,88,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/26/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/27/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
1/28/2016,AQS,560210100,1,0.1,ppm,1,Cheyenne NCore,24,100,42101,Carbon monoxide,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.18222711,-104.7783342
