,Site Name,Date,DMean PM10,PM_UNITS,PM10 AQI,PM-WEIGHT,LAt,Lng,DMax NO2,NO2 Units,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone Units,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 Units,SO2 AQI,SO2-WEIGHT,DMax CO,CO Units,CO AQI,CO-WEIGHT
28,SEATTLE - BEACON HILL,4/2/2018,7.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,22.0,ppb,21.0,23.0,0.039,ppm,36.0,17.0,0.7,ppb,0.0,21.0,0.2,ppm,2.0,24.0
29,SEATTLE - BEACON HILL,4/5/2018,6.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,24.7,ppb,23.0,18.0,0.018,ppm,17.0,17.0,1.8,ppb,1.0,20.0,0.3,ppm,3.0,24.0
31,SEATTLE - BEACON HILL,4/11/2018,5.0,ug/m3 SC,5.0,1.0,47.568236,-122.308628,11.5,ppb,10.0,21.0,0.045,ppm,42.0,17.0,0.5,ppb,0.0,18.0,0.2,ppm,2.0,24.0
32,SEATTLE - BEACON HILL,4/14/2018,3.0,ug/m3 SC,3.0,1.0,47.568236,-122.308628,19.1,ppb,18.0,24.0,0.035,ppm,32.0,17.0,0.3,ppb,0.0,22.0,0.2,ppm,2.0,24.0
33,SEATTLE - BEACON HILL,4/17/2018,8.0,ug/m3 SC,7.0,1.0,47.568236,-122.308628,12.3,ppb,11.0,24.0,0.041,ppm,38.0,17.0,0.3,ppb,0.0,22.0,0.2,ppm,2.0,24.0
34,SEATTLE - BEACON HILL,4/20/2018,9.0,ug/m3 SC,8.0,1.0,47.568236,-122.308628,20.5,ppb,19.0,24.0,0.043,ppm,40.0,17.0,1.1,ppb,1.0,22.0,0.3,ppm,3.0,24.0
35,SEATTLE - BEACON HILL,4/23/2018,10.0,ug/m3 SC,9.0,1.0,47.568236,-122.308628,39.3,ppb,37.0,24.0,0.039,ppm,36.0,17.0,0.6,ppb,0.0,21.0,0.2,ppm,2.0,24.0
36,SEATTLE - BEACON HILL,4/26/2018,21.0,ug/m3 SC,19.0,1.0,47.568236,-122.308628,28.1,ppb,26.0,24.0,0.043,ppm,40.0,17.0,1.3,ppb,1.0,24.0,0.3,ppm,3.0,24.0
38,SEATTLE - BEACON HILL,5/2/2018,14.0,ug/m3 SC,13.0,1.0,47.568236,-122.308628,33.4,ppb,31.0,23.0,0.034,ppm,31.0,17.0,1.5,ppb,1.0,20.0,0.3,ppm,3.0,24.0
39,SEATTLE - BEACON HILL,5/5/2018,10.0,ug/m3 SC,9.0,1.0,47.568236,-122.308628,23.6,ppb,22.0,22.0,0.029,ppm,27.0,17.0,1.8,ppb,1.0,22.0,0.3,ppm,3.0,24.0
40,SEATTLE - BEACON HILL,5/8/2018,11.0,ug/m3 SC,10.0,1.0,47.568236,-122.308628,24.4,ppb,23.0,23.0,0.033,ppm,31.0,17.0,1.2,ppb,1.0,19.0,0.2,ppm,2.0,24.0
41,SEATTLE - BEACON HILL,5/11/2018,10.0,ug/m3 SC,9.0,1.0,47.568236,-122.308628,31.2,ppb,29.0,22.0,0.031,ppm,29.0,17.0,0.7,ppb,0.0,22.0,0.2,ppm,2.0,24.0
42,SEATTLE - BEACON HILL,5/14/2018,21.0,ug/m3 SC,19.0,1.0,47.568236,-122.308628,37.8,ppb,35.0,23.0,0.044,ppm,41.0,17.0,2.6,ppb,3.0,20.0,0.4,ppm,5.0,13.0
43,SEATTLE - BEACON HILL,5/17/2018,7.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,11.8,ppb,10.0,24.0,0.032,ppm,30.0,17.0,0.5,ppb,0.0,24.0,0.2,ppm,2.0,24.0
45,SEATTLE - BEACON HILL,5/23/2018,14.0,ug/m3 SC,13.0,1.0,47.568236,-122.308628,32.6,ppb,30.0,24.0,0.038,ppm,35.0,17.0,1.3,ppb,1.0,22.0,0.2,ppm,2.0,24.0
46,SEATTLE - BEACON HILL,5/26/2018,10.0,ug/m3 SC,9.0,1.0,47.568236,-122.308628,23.8,ppb,22.0,23.0,0.037,ppm,34.0,17.0,0.4,ppb,0.0,22.0,0.2,ppm,2.0,24.0
47,SEATTLE - BEACON HILL,5/29/2018,15.0,ug/m3 SC,14.0,1.0,47.568236,-122.308628,13.5,ppb,12.0,22.0,0.03,ppm,28.0,17.0,0.6,ppb,0.0,24.0,0.2,ppm,2.0,24.0
48,SEATTLE - BEACON HILL,6/1/2018,5.0,ug/m3 SC,5.0,1.0,47.568236,-122.308628,16.0,ppb,15.0,23.0,0.037,ppm,34.0,17.0,0.7,ppb,0.0,20.0,0.2,ppm,2.0,24.0
49,SEATTLE - BEACON HILL,6/4/2018,6.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,13.1,ppb,12.0,22.0,0.034,ppm,31.0,17.0,0.3,ppb,0.0,22.0,0.2,ppm,2.0,24.0
50,SEATTLE - BEACON HILL,6/7/2018,9.0,ug/m3 SC,8.0,1.0,47.568236,-122.308628,7.6,ppb,7.0,23.0,0.044,ppm,41.0,17.0,0.8,ppb,0.0,22.0,0.2,ppm,2.0,24.0
