,Site Name,Date,DMean PM10,PM_UNITS,PM10 AQI,PM-WEIGHT,NYt,Lng,DMax NO2,NO2 Units,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone Units,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 Units,SO2 AQI,SO2-WEIGHT,DMax CO,CO Units,CO AQI,CO-WEIGHT
0,Newark Firehouse,1/1/2016,3.0,ug/m3 SC,3.0,1.0,40.720989,-74.192892,15.0,ppb,14.0,24.0,0.027,ppm,25.0,17.0,0.6,ppb,0.0,24.0,0.2,ppm,2.0,18.0
1,Newark Firehouse,1/4/2016,4.0,ug/m3 SC,4.0,1.0,40.720989,-74.192892,20.0,ppb,19.0,24.0,0.03,ppm,28.0,17.0,0.4,ppb,0.0,23.0,0.4,ppm,5.0,24.0
2,Newark Firehouse,1/7/2016,45.0,ug/m3 SC,42.0,1.0,40.720989,-74.192892,70.0,ppb,68.0,24.0,0.003,ppm,3.0,17.0,5.5,ppb,7.0,24.0,1.2,ppm,14.0,24.0
3,Newark Firehouse,1/10/2016,12.0,ug/m3 SC,11.0,1.0,40.720989,-74.192892,27.0,ppb,25.0,21.0,0.028,ppm,26.0,17.0,0.5,ppb,0.0,24.0,0.4,ppm,5.0,24.0
4,Newark Firehouse,1/13/2016,10.0,ug/m3 SC,9.0,1.0,40.720989,-74.192892,19.0,ppb,18.0,24.0,0.028,ppm,26.0,17.0,2.5,ppb,3.0,24.0,0.4,ppm,5.0,24.0
5,Newark Firehouse,1/16/2016,7.0,ug/m3 SC,6.0,1.0,40.720989,-74.192892,47.0,ppb,44.0,24.0,0.028,ppm,26.0,17.0,0.9,ppb,0.0,24.0,0.9,ppm,10.0,24.0
6,Newark Firehouse,1/19/2016,6.0,ug/m3 SC,6.0,1.0,40.720989,-74.192892,13.0,ppb,12.0,24.0,0.03,ppm,28.0,17.0,1.0,ppb,1.0,24.0,0.2,ppm,2.0,24.0
7,Newark Firehouse,1/22/2016,6.0,ug/m3 SC,6.0,1.0,40.720989,-74.192892,34.0,ppb,32.0,24.0,0.029,ppm,27.0,17.0,0.8,ppb,0.0,24.0,0.3,ppm,3.0,24.0
8,Newark Firehouse,1/25/2016,23.0,ug/m3 SC,21.0,1.0,40.720989,-74.192892,49.0,ppb,46.0,24.0,0.014,ppm,13.0,17.0,2.1,ppb,3.0,23.0,1.0,ppm,11.0,24.0
9,Newark Firehouse,1/28/2016,26.0,ug/m3 SC,24.0,1.0,40.720989,-74.192892,95.0,ppb,95.0,21.0,0.018,ppm,17.0,17.0,3.5,ppb,4.0,24.0,2.3,ppm,26.0,24.0
10,Newark Firehouse,1/31/2016,21.0,ug/m3 SC,19.0,1.0,40.720989,-74.192892,50.0,ppb,47.0,21.0,0.023,ppm,21.0,17.0,1.8,ppb,1.0,24.0,1.0,ppm,11.0,24.0
11,Newark Firehouse,2/3/2016,16.0,ug/m3 SC,15.0,1.0,40.720989,-74.192892,47.0,ppb,44.0,24.0,0.009,ppm,8.0,17.0,0.9,ppb,0.0,24.0,0.6,ppm,7.0,24.0
12,Newark Firehouse,2/6/2016,13.0,ug/m3 SC,12.0,1.0,40.720989,-74.192892,37.0,ppb,35.0,24.0,0.026,ppm,24.0,17.0,1.3,ppb,1.0,24.0,0.5,ppm,6.0,24.0
13,Newark Firehouse,2/9/2016,17.0,ug/m3 SC,16.0,1.0,40.720989,-74.192892,38.0,ppb,36.0,24.0,0.019,ppm,18.0,17.0,0.6,ppb,0.0,24.0,0.5,ppm,6.0,24.0
14,Newark Firehouse,2/12/2016,8.0,ug/m3 SC,7.0,1.0,40.720989,-74.192892,25.0,ppb,24.0,24.0,0.032,ppm,30.0,17.0,1.2,ppb,1.0,24.0,0.3,ppm,3.0,24.0
16,Newark Firehouse,2/18/2016,6.0,ug/m3 SC,6.0,1.0,40.720989,-74.192892,21.0,ppb,20.0,24.0,0.033,ppm,31.0,17.0,0.3,ppb,0.0,24.0,0.3,ppm,3.0,24.0
17,Newark Firehouse,2/21/2016,10.0,ug/m3 SC,9.0,1.0,40.720989,-74.192892,44.0,ppb,42.0,21.0,0.031,ppm,29.0,17.0,1.5,ppb,1.0,24.0,0.7,ppm,8.0,24.0
18,Newark Firehouse,2/24/2016,8.0,ug/m3 SC,7.0,1.0,40.720989,-74.192892,41.0,ppb,39.0,24.0,0.026,ppm,24.0,17.0,0.5,ppb,0.0,24.0,0.5,ppm,6.0,24.0
19,Newark Firehouse,2/27/2016,6.0,ug/m3 SC,6.0,1.0,40.720989,-74.192892,35.0,ppb,33.0,24.0,0.035,ppm,32.0,17.0,0.9,ppb,0.0,24.0,0.3,ppm,3.0,24.0
