Ozone AQI,Year,Month,Day,OZONE-WEIGHT,Flag
50,2016,12,27,17,0
42,2016,12,28,17,0
41,2016,12,29,17,0
43,2016,12,30,17,0
33,2018,1,1,17,0
43,2018,1,2,17,0
36,2018,1,3,17,0
34,2018,1,4,17,0
34,2018,1,5,17,0
31,2018,1,6,17,0
36,2018,1,7,17,0
40,2018,1,8,17,0
32,2018,1,9,17,0
29,2018,1,10,17,0
38,2018,1,11,17,0
31,2018,1,12,17,0
39,2018,1,13,17,0
37,2018,1,14,17,0
39,2018,1,15,17,0
31,2018,1,16,17,0
38,2018,1,17,17,0
36,2018,1,18,17,0
33,2018,1,19,17,0
33,2018,1,20,17,0
38,2018,1,23,17,0
41,2018,1,24,17,0
36,2018,1,25,17,0
38,2018,1,26,17,0
40,2018,1,27,17,0
35,2018,1,28,17,0
37,2018,1,29,17,0
38,2018,1,30,17,0
38,2018,1,31,17,0
36,2018,2,1,17,0
42,2018,2,3,14,0
33,2018,2,4,17,0
31,2018,2,5,17,0
36,2018,2,8,17,0
28,2018,2,9,17,0
29,2018,2,10,17,0
39,2018,2,11,14,0
33,2018,2,12,17,0
39,2018,2,14,17,0
41,2018,2,15,17,0
44,2018,2,16,17,0
41,2018,2,17,17,0
43,2018,2,18,17,0
36,2018,2,19,17,0
33,2018,2,20,17,0
39,2018,2,21,17,0
35,2018,2,22,17,0
43,2018,2,23,17,0
41,2018,2,24,17,0
42,2018,2,25,17,0
43,2018,2,26,17,0
44,2018,2,27,17,0
44,2018,2,28,17,0
44,2018,3,1,17,0
39,2018,3,2,17,0
42,2018,3,3,17,0
45,2018,3,4,17,0
41,2018,3,5,17,0
41,2018,3,6,17,0
45,2018,3,7,17,0
44,2018,3,24,17,0
40,2018,3,25,17,0
44,2018,3,26,17,0
46,2018,3,27,17,0
38,2018,3,28,17,0
44,2018,3,29,17,0
44,2018,3,30,17,0
31,2018,3,31,17,0
35,2018,4,1,17,0
54,2018,4,2,17,0
46,2018,4,3,17,0
48,2018,4,4,17,0
40,2018,4,5,17,0
42,2018,4,6,17,0
44,2018,4,7,17,0
45,2018,4,8,17,0
38,2018,4,9,17,0
48,2018,4,10,17,0
47,2018,4,11,17,0
48,2018,4,12,17,0
40,2018,4,13,17,0
44,2018,4,14,17,0
43,2018,4,15,17,0
44,2018,4,16,17,0
58,2018,4,17,17,0
44,2018,4,18,17,0
46,2018,4,19,17,0
37,2018,4,20,17,0
40,2018,4,21,17,0
47,2018,4,22,17,0
48,2018,4,23,17,0
41,2018,4,24,17,0
49,2018,4,25,17,0
51,2018,4,26,17,0
58,2018,4,27,17,0
54,2018,4,28,17,0
58,2018,4,29,17,0
48,2018,4,30,17,0
44,2018,5,1,17,0
41,2018,5,2,17,0
40,2018,5,3,17,0
48,2018,5,4,17,0
49,2018,5,5,17,0
58,2018,5,6,17,0
51,2018,5,7,17,0
51,2018,5,8,17,0
58,2018,5,9,17,0
47,2018,5,10,17,0
44,2018,5,11,17,0
23,2018,5,12,17,0
34,2018,5,13,17,0
48,2018,5,14,17,0
71,2018,5,15,17,0
58,2018,5,16,17,0
61,2018,5,17,17,0
50,2018,5,18,17,0
35,2018,5,19,17,0
42,2018,5,20,17,0
49,2018,5,21,17,0
50,2018,5,22,17,0
74,2018,5,23,17,0
54,2018,5,24,17,0
64,2018,5,25,17,0
67,2018,5,26,17,0
47,2018,5,27,17,0
50,2018,5,28,17,0
50,2018,5,29,17,0
45,2018,5,30,17,0
58,2018,5,31,17,0
51,2018,6,1,17,0
67,2018,6,2,17,0
49,2018,6,3,17,0
49,2018,6,4,17,0
54,2018,6,5,17,0
46,2018,6,6,17,0
